key,value
Mentions,Mentions
Gifts Received,Cadeaux reçus
Chat Message,Message de chat
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Abonnez-vous à Plus pour profiter\nd'une expérience sans pub et d'une\nicône vérifiée sur votre profil.
No Ads,Sans pub
Get Verified,Vérification
Subscribe Now,S'abonner maintenant
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,"L'abonnement est automatiquement renouvelé selon le plan choisi, sauf annulation dans les 24 heures avant la fin de la période en cours. Vous pouvez gérer et annuler vos abonnements à tout moment depuis les paramètres du Play Store/App Store."
User ID,ID utilisateur
Profile Image,Image de profil
Username,Nom d'utilisateur
Bio,Bio
Phone Number,Numéro de téléphone
Links,Liens
Link,Lien
Title,Titre
Add Link,Ajouter un lien
Edit Link,Modifier le lien
Edit,Modifier
Delete,Supprimer
Save,Enregistrer
Share,Partager
Share Post,Partager la publication
Pin,Épingler
Unpin,Désépingler
Block,Bloquer
UnBlock,Débloquer
Scan This code\nto check the profile,Scannez ce code\npour voir le profil
Balance,Solde
Collected*,Collecté*
Gifted*,Offert*
GIF,GIF
Purchased*,Acheté*
Coin Shop,Boutique de pièces
Recharge your wallet. And\nsend gifts to your favorite creators.,Rechargez votre portefeuille et\noffrez des cadeaux à vos créateurs préférés.
Purchase,Acheter
Withdrawals,Retraits
Request Withdrawal,Demander un retrait
Pending,En attente
Completed,Terminé
Rejected,Rejeté
Coin Balance,Solde de pièces
Estimated Value,Valeur estimée
Estimated Amount,Montant estimé
Amount,Montant
Enter Coin Amount..,Entrez le montant en pièces..
Converted Amount,Montant converti
Create Feed,Créer une publication
Write something here..,Écrivez quelque chose ici..
Mention,Mentionner
Hashtags,Hashtags
Location,Localisation
Allow Comments,Autoriser les commentaires
Select Music,Sélectionner une musique
Explore,Explorer
Categories,Catégories
Saved,Enregistrés
Preview,Aperçu
Change Cover,Changer la couverture
Upload Now,Publier maintenant
Discard,Annuler
Done,Terminé
Font Family,Police d'écriture
Type Something...,Écrivez quelque chose...
Users,Utilisateurs
User,Utilisateur
Places,Lieux
Enter Live Stream Title...,Entrez le titre du live...
Start Live,Commencer le live
Stop,Arrêter
Start Battle,Commencer un battle
Battle\nStarting\nin,Battle\ncommence\ndans
Cancel,Annuler
Yes,Oui
Members,Membres
Audience,Public
Invited,Invités
Invite,Inviter
Co-hosts,Co-hôtes
Refuse,Refuser
Accept,Accepter
Host,Hôte
Guest,Invité
Victory,Victoire
Defeat,Défaite
Streamed For,Diffusé pendant
Followers Gained,Abonnés gagnés
Total Coins Collected,Pièces collectées
Go Home,Retour à l'accueil
Stream Ended!,Stream terminé !
Your Stream Ended!,Votre stream est terminé !
Below is the summary of your stream!,Voici le résumé de votre stream !
From Battle,Du battle
Live,En direct
Check Profile,Voir le profil
You are sending coins to @color Participant,Vous envoyez des pièces à @color Participant
You will be sent back to main view in...,Vous serez redirigé vers la vue principale dans...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,Le live s'est terminé car un minimum de @viewers_count spectateurs est requis pour le maintenir.
Please enter an email. The email field is empty.,Veuillez entrer un email. Le champ email est vide.
Please enter a password. The password field is empty.,Veuillez entrer un mot de passe. Le champ mot de passe est vide.
No user found with that email. Please register with this email.,Aucun utilisateur trouvé avec cet email. Veuillez vous inscrire avec cet email.
Incorrect password provided for this user.,Mot de passe incorrect pour cet utilisateur.
The password provided is too weak.,Le mot de passe fourni est trop faible.
The account already exists for that email.,Un compte existe déjà avec cet email.
Please enter a full name. The full name field is empty.,Veuillez entrer un nom complet. Le champ nom complet est vide.
Please enter a username. The username field is empty.,Veuillez entrer un nom d'utilisateur. Le champ nom d'utilisateur est vide.
Please enter a URL link. The link field is empty.,Veuillez entrer une URL. Le champ lien est vide.
Please enter a valid URL link,Veuillez entrer une URL valide.
Please enter a title. The title field is empty.,Veuillez entrer un titre. Le champ titre est vide.
Please enter a valid username.,Veuillez entrer un nom d'utilisateur valide.
Please confirm your password. The confirm password field is empty.,Veuillez confirmer votre mot de passe. Le champ de confirmation est vide.
The password and confirm password do not match.,Le mot de passe et la confirmation ne correspondent pas.
The email is incorrect. Please enter a valid email.,L'email est incorrect. Veuillez entrer un email valide.
A verification link has been sent to your email. Please verify the link to log in.,Un lien de vérification a été envoyé à votre email. Veuillez vérifier le lien pour vous connecter.
"Please verify your email first, then proceed to log in.",Veuillez d'abord vérifier votre email avant de vous connecter.
Delete Link?,Supprimer le lien ?
Phone Code,Code téléphonique
No Data Found,Aucune donnée trouvée
Are you sure you want to delete this link? This action cannot be undone.,Êtes-vous sûr de vouloir supprimer ce lien ? Cette action est irréversible.
Uploading post...,Publication en cours...
Uploading story...,Story en cours...
Post uploaded successfully.,Publication réussie.
Story uploaded successfully.,Story publiée avec succès.
Uploading failed.,Échec de la publication.
Add Filter,Ajouter un filtre
Apply to all,Appliquer à tous
An error occurred while applying the video filter.,Une erreur est survenue lors de l'application du filtre vidéo.
An error occurred while compress the video.,Une erreur est survenue lors de la compression de la vidéo.
Delete Post?,Supprimer la publication ?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Êtes-vous sûr de vouloir supprimer cette publication ? Une fois supprimée, elle ne pourra pas être restaurée."
Your post has been pinned.,Votre publication a été épinglée.
Your post has been unpinned.,Votre publication a été désépinglée.
You can pin maximum @pin_count post.,Vous pouvez épingler maximum @pin_count publications.
You can pin maximum @pin_comment_count comment.,Vous pouvez épingler maximum @pin_comment_count commentaires.
A reset password link has been sent to your email. Please use it to reset your password.,Un lien de réinitialisation a été envoyé à votre email. Utilisez-le pour réinitialiser votre mot de passe.
Copyright Infringement,Violation de copyright
Hate Speech,Discours haineux
Harassment or Bullying,Harcèlement ou intimidation
Violence or Threats,Violence ou menaces
Nudity or Sexual Content,Nudité ou contenu sexuel
Terrorism or Extremist Content,Terrorisme ou extrémisme
Scams or Fraud,Arnaques ou fraude
Spam,Spam
Impersonation,Usurpation d'identité
Misinformation,Désinformation
Reason,Raison
Please provide a detailed reason for the report.,Veuillez fournir une raison détaillée pour le signalement.
Report submitted successfully.,Signalement envoyé avec succès.
Block @username!,Bloquer @username !
UnBlock @username!,Débloquer @username !
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Êtes-vous sûr de vouloir bloquer cet utilisateur ? Vous ne verrez plus ses abonnés/abonnements, et il ne pourra plus voir votre profil, photos ou publications. Une fois bloqué, vous ne pourrez plus chatter ensemble."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Une fois débloqué, cet utilisateur pourra à nouveau chatter avec vous, et vous pourrez voir son profil/photos/publications."
You are bock this user,Vous avez bloqué cet utilisateur
This user is freeze,Cet utilisateur est gelé
Delete Comment!,Supprimer le commentaire !
Delete Reply Comment!,Supprimer la réponse !
Are you sure you want to delete this comment? This action cannot be undone.,Êtes-vous sûr de vouloir supprimer ce commentaire ? Cette action est irréversible.
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!",Voulez-vous vraiment supprimer votre compte ? Toutes vos données seront effacées et ne pourront pas être récupérées !
Do you really want to proceed?,Voulez-vous vraiment continuer ?
Are you sure you want to log out? You will need to log in again to access your account.,Êtes-vous sûr de vouloir vous déconnecter ? Vous devrez vous reconnecter pour accéder à votre compte.
Logout!,Déconnexion !
Delete Your Account!,Supprimer votre compte !
There is nothing we can show you for now.,Rien à afficher pour le moment.
music,musique
Discard edits?,Annuler les modifications ?
Start Again?,Recommencer ?
Start Again,Recommencer
"If you go back now, you'll lose all the edits you've made.","Si vous revenez en arrière, vous perdrez toutes vos modifications."
"If you go back now, you'll lose this draft","Si vous revenez en arrière, vous perdrez ce brouillon."
Discover,Découvrir
No location found.,Aucun lieu trouvé.
Start searching for a location.,Commencez à chercher un lieu.
Only,Seulement
Current Value,Valeur actuelle
Account Details,Détails du compte
Select Gateway,Sélectionner une passerelle
You cannot enter more than @coin coins!,Vous ne pouvez pas entrer plus de @coin pièces !
Redeem gateway not found.,Passerelle de retrait introuvable.
Record up to @second seconds.,Enregistrement jusqu'à @second secondes.
Allow Camera & Microphone Access,Autoriser l'accès à la caméra et au micro
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","Pour capturer photos, vidéos et utiliser la voix, @app_name a besoin des autorisations caméra/micro. Activez-les dans les paramètres."
Open setting,Ouvrir les paramètres
Delete Story?,Supprimer la story ?
Are you sure you want to delete this story?,Êtes-vous sûr de vouloir supprimer cette story ?
Are you sure you want to delete this text?,Êtes-vous sûr de vouloir supprimer ce texte ?
Music download failed.,Échec du téléchargement de la musique.
View More,Voir plus
Download completed successfully!,Téléchargement réussi !
Download has started...,Téléchargement en cours...
User not found.,Utilisateur introuvable.
Delete Message?,Supprimer le message ?
Delete @user_name?,Supprimer @user_name ?
"After deleting this user, you will not be able to restore the chat.","Après suppression, vous ne pourrez pas restaurer ce chat."
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,Ce message sera supprimé uniquement pour vous. L'autre utilisateur pourra toujours le voir. Continuer ?
Send Media,Envoyer un média
Select Media,Sélectionner un média
Video,Vidéo
Image,Image
You received a gift!,Vous avez reçu un cadeau !
You have sent a gift!,Vous avez envoyé un cadeau !
Enable Microphone Access,Activer le micro
Enable Camera and Microphone Access,Activer caméra et micro
Enable photos and videos access,Autoriser l'accès aux photos/vidéos
"To Share photos and videos, @app_name needs access to Storage on your device.","Pour partager des médias, @app_name a besoin de l'accès au stockage."
You'll need to enable camera and microphone access in your settings to send a photo or video message.,Activez caméra/micro dans les paramètres pour envoyer des photos/vidéos.
You'll need to enable microphone access in your settings to send a voice message.,Activez le micro pour envoyer des messages vocaux.
Settings,Paramètres
Delete for you,Supprimer pour vous
Unsend,Annuler l'envoi
You can share with up to @share_chat_limit chats.,Vous pouvez partager avec max. @share_chat_limit chats.
@chat_user_name wants to chat with you. Approve it if you want to chat.,@chat_user_name veut chatter avec vous. Acceptez si intéressé.
You cannot send messages to this account unless you unblock them.,Vous ne pouvez pas envoyer de messages à ce compte sans le débloquer.
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,Vous avez bloqué @block_user_name \nMessages impossibles sans débloquer.
You are blocked by this user.,Cet utilisateur vous a bloqué.
Copied to clipboard.,Copié dans le presse-papiers.
Message sent,Message envoyé
Story unavailable,Story indisponible
Delete Music?,Supprimer la musique ?
Are you sure you want to delete this music? This action cannot be undone.,Êtes-vous sûr ? Cette action est irréversible.
Session Expired – Logged in on Another Device,Session expirée - Connexion sur un autre appareil
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","Pour des raisons de sécurité, @app_name n'autorise qu'une session active par compte. Vous semblez connecté ailleurs. Nous vous avons déconnecté automatiquement.\n\nSi ce n'était pas vous, reconnectez-vous. Vous pouvez changer votre mot de passe si nécessaire."
Your Account Has Been Frozen,Votre compte a été gelé
Request to Unfreeze My Account,Demande de dégel
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.",Votre compte a été temporairement gelé pour activité suspecte ou violation des règles.\n\nContactez le support à @support_mail pour résoudre le problème.
Text is rejected because it includes such things: ,Texte rejeté car il contient :
Media is rejected because it contains such things: ,Média rejeté car il contient :
Restrict users requests to join.,Restreindre les demandes de rejoindre.
End This Stream!,Terminer ce stream ?
Do you really want to end this streaming?,Voulez-vous vraiment terminer ce stream ?
End Battle?,Arrêter le battle ?
Are you sure you want to stop the battle? This action can’t be undone.,Êtes-vous sûr ? Cette action est irréversible.
No Join Requests Yet,Aucune demande de rejoindre
View and manage audience requests to join the live stream.,Gérez les demandes du public pour rejoindre votre live.
No Viewers Yet,Aucun spectateur
Audience members will appear here when they join your live stream.,Les spectateurs apparaîtront ici.
No One Invited,Personne invité
You haven’t invited anyone yet. Invited users will be listed here.,Les invités apparaîtront ici.
No Co-hosts Yet,Aucun co-hôte
Co-hosts will appear here once they accept your invitation.,Les co-hôtes apparaîtront ici après acceptation.
You are sending coins to the above user.,Vous envoyez des pièces à cet utilisateur.
No Live Streams Yet,Aucun live
Live streams will appear here when someone goes live.,Les lives apparaîtront ici.
No Reels Yet,Aucun Reel
This user hasn’t posted any reels so far.,Cet utilisateur n'a pas encore posté de Reels.
You Haven’t Shared Any Posts,Aucune publication
Start posting to share your moments with the community.,Commencez à publier pour partager vos moments.
No Posts Yet,Aucun post
This user hasn’t shared any posts so far.,Cet utilisateur n'a rien publié.
Start a Conversation,Démarrer une conversation
Your chats will show up here once you start messaging someone.,Vos chats s'afficheront ici.
No Requests Right Now,Aucune demande
New chat requests will appear here when someone messages you.,Les nouvelles demandes apparaîtront ici.
Your request to join the live stream is pending approval.,Votre demande est en attente
Joined the stream,A rejoint le stream
Join,Rejoindre
wants you to be in this live video,vous invite en live
requesting to join the stream.,demande à rejoindre.
The host has declined your request to join the live stream.,Votre demande a été refusée.
Your request to join the live stream has been sent to the host.,Votre demande a été envoyée.
Exit live stream?,Quitter le live ?
"If you check this profile, you will exit the live stream.","Si vous consultez ce profil, vous quitterez le live."
You can’t leave the live stream while a battle is in progress.,Impossible de quitter pendant un battle.
Get Back,Retour
Exit Live Stream?,Quitter le live ?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ",Êtes-vous sûr ? Vous ne pourrez pas revenir si le stream est terminé.
Scan QR Code,Scanner un QR Code
Scan the QR of the profile you want to search.,Scannez le QR Code du profil recherché.
Upload From Gallery,Importer depuis la galerie
Nothing to Watch Yet,Rien à regarder
Reels will appear here once new content is shared.,Les Reels apparaîtront ici.
Nothing to Show Yet,Rien à afficher
Explore content by entering keywords in the search bar above.,Recherchez du contenu ci-dessus.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,Artiste basé à Portland. Je m'inspire de la nature et de la vie urbaine. Connectons-nous pour créer ensemble ! 🌿🖌️
Video path not found.,Vidéo introuvable.
has liked your post,a aimé votre publication.
liked your comment.,a aimé votre commentaire.
has commented on your post : @comment_description,a commenté : @comment_description
has commented on your post with a GIF.,a commenté avec un GIF.
@username replied to your comment : @comment_description,@username a répondu : @comment_description
has mentioned you in post.,vous a mentionné dans une publication.
Mentioned you in comment,Mention dans un commentaire
has started following you,vous suit maintenant.
has reply mentioned you in comment : @comment_description,vous a répondu : @comment_description
has sent you gift,vous a envoyé un cadeau.
No Comments Yet,Aucun commentaire
This post doesn’t have any comments. Join in and share your thoughts.,Soyez le premier à commenter.
Post sent successfully,Publication envoyée.
Search @brand_name,Rechercher @brand_name
Find Reels Around You,Trouver des Reels près de vous
Allow location access to explore reels shared by people near you.,Activez la localisation pour voir les Reels partagés près de chez vous.
Location Services Are Still Disabled,Localisation désactivée
"To see nearby reels, please turn on location services in your device settings.",Activez-la dans vos paramètres.
See places near you.,Lieux à proximité
"To include nearby places, turn on location services.",Activez la localisation pour les voir.
Turn on Location Services,Activer la localisation
Nothing To Show Here,Rien à afficher
This user has decided not to show their followings.,Cet utilisateur cache ses abonnements.
No Blocked Users,Aucun utilisateur bloqué
Users you block will appear here. You haven’t blocked anyone yet.,Les utilisateurs bloqués apparaîtront ici.
You need to reach the minimum coin amount before you can redeem.,Atteignez le minimum de pièces pour retirer.
No Users Found,Aucun utilisateur
Users will appear here when available.,Les utilisateurs apparaîtront ici.
Freeze,Geler
UnFreeze,Dégeler
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,Ce profil est gelé pour violation des règles. Accès restreint.
Profile Unavailable,Profil indisponible
Admin,Admin
Days,Jours
Weeks,Semaines
Months,Mois
Years,Années
Day,Jour
Week,Semaine
Month,Mois
Year,Année
Lifetime,À vie
Annual,Annuel
6 Month,6 mois
3 Month,3 mois
2 Month,2 mois
Monthly,Mensuel
Weekly,Hebdomadaire
@price / Month. Billed @unit_label,@price / mois. Facturé @unit_label
Give it a try,Essayer
@count @get_period Free trial,@count @get_period essai gratuit
Annually,Annuel
Semi Annually,Semestriel
Three Months,Trimestriel
Two Months,Bimestriel
The host has cancelled your invitation. You can no longer join the live stream.,L'hôte a annulé votre invitation.
joined as a co-host,a rejoint comme co-hôte.
Min. @count Followers needed to go Live,Minimum @count abonnés pour faire un live.
You can add only @limit links in the profile.,Limite de @limit liens dans le profil.
Refresh,Actualiser
Lost,Perdu
Connection,Connexion
It looks like you are not\nconnected to the internet,Vous semblez hors ligne.
Download failed.,Échec du téléchargement.
From,De
Something went wrong.,Une erreur est survenue.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Bonus de bienvenue crédité !
You've earned your registration bonus! Enjoy your coins and start exploring now!,Vous avez reçu votre bonus d'inscription ! Profitez-en dès maintenant !
You are,Vous êtes
member,membre
Oops!! Battle Ended Please wait for a while..,Battle terminée. Veuillez patienter...
"Hey, @name is now live",@name est en live !
Hurry up and join before it ends.,Rejoignez vite avant la fin.
Professional Dashboard,Tableau de bord professionnel
Track Your Performance,Suivez vos performances
Creator Dashboard,Tableau de bord créateur
AI Insights,Analyses IA
Content Calendar,Calendrier de contenu
Grow Your Business,Développez votre activité
Subscription Tiers,Niveaux d'abonnement
My Subscribers,Mes abonnés
My Portfolio,Mon portfolio
Manage Your Account,Gérer votre compte
Creator Tier,Niveau créateur
Account Type Settings,Paramètres du type de compte
My Subscriptions,Mes abonnements
People,Personnes
Content & Feed,Contenu et fil d'actualité
Digital Wellbeing,Bien-être numérique
AI & Discovery,IA et découverte
AI Video Generator,Générateur de vidéos IA
Moderator Panel,Panneau de modération
Two-Factor Authentication,Authentification à deux facteurs
Switch Account,Changer de compte
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","Passer à un compte personnel supprimera l'accès à tous les outils professionnels, y compris les analyses, la monétisation, le tableau de bord des revenus, et la gestion d'équipe."
Switch to Personal,Passer en personnel
Creator,Créateur
Account,Compte
Part of a Series,Partie d'une série
Select Previous Part,Sélectionner la partie précédente
Previous Part,Partie précédente
Next Part,Partie suivante
