key,value
Coin Shop,Münzshop
Recharge your wallet. And\nsend gifts to your favorite creators.,Lade dein Guthaben auf und sende Geschenke an deine Lieblingsersteller.
Purchase,Kaufen
Withdrawals,Auszahlungen
Request Withdrawal,Auszahlung beantragen
Pending,Ausstehend
Completed,Abgeschlossen
Rejected,Abgelehnt
Coin Balance,Münzguthaben
Estimated Value,Geschätzter Wert
Estimated Amount,Geschätzter Betrag
Amount,Betrag
Enter Coin Amount..,Münzbetrag eingeben..
Converted Amount,Umgerechneter Betrag
Create Feed,Beitrag erstellen
Write something here..,Schreibe hier etwas..
Mention,Erwähnen
Hashtags,Hashtags
Location,Ort
Allow Comments,Kommentare erlauben
Select Music,Musik auswählen
Explore,Entdecken
Categories,Kategorien
Saved,Gespeichert
Preview,Vorschau
Change Cover,Cover ändern
Upload Now,Jetzt hochladen
Discard,Verwerfen
Done,Fertig
Font Family,Schriftart
Type Something...,Schreibe etwas...
Users,Nutzer
User,Nutzer
Places,Orte
Enter Live Stream Title...,Livestream-Titel eingeben...
Start Live,Live starten
Stop,Stopp
Start Battle,Battle starten
Battle\nStarting\nin,Battle\nstartet in
Cancel,Abbrechen
Yes,Ja
Members,Mitglieder
Audience,Publikum
Invited,Eingeladene
Invite,Einladen
Co-hosts,Co-Hosts
Refuse,Ablehnen
Accept,Akzeptieren
Host,Host
Guest,Gast
Victory,Sieg
Defeat,Niederlage
Streamed For,Gestreamt für
Followers Gained,Neue Follower
Total Coins Collected,Gesammelte Münzen
Go Home,Zur Startseite
Stream Ended!,Stream beendet!
Your Stream Ended!,Dein Stream ist beendet!
Below is the summary of your stream!,Hier ist die Zusammenfassung deines Streams!
From Battle,Vom Battle
Live,Live
Check Profile,Profil ansehen
You are sending coins to @color Participant,Du sendest Münzen an @color Teilnehmer
You will be sent back to main view in...,Du wirst in ... zur Hauptansicht zurückgeschickt.
The live stream has ended because min. @viewers_count viewers are required to keep it going.,"Der Livestream wurde beendet, da mindestens @viewers_count Zuschauer erforderlich sind, um fortzufahren."
Please enter an email. The email field is empty.,Bitte gib eine E-Mail-Adresse ein. Das E-Mail-Feld ist leer.
Please enter a password. The password field is empty.,Bitte gib ein Passwort ein. Das Passwortfeld ist leer.
No user found with that email. Please register with this email.,Kein Nutzer mit dieser E-Mail-Adresse gefunden. Bitte registriere dich mit dieser E-Mail.
Incorrect password provided for this user.,Falsches Passwort für diesen Nutzer.
The password provided is too weak.,Das angegebene Passwort ist zu schwach.
The account already exists for that email.,Es existiert bereits ein Konto mit dieser E-Mail-Adresse.
Please enter a full name. The full name field is empty.,Bitte gib einen vollständigen Namen ein. Das Namensfeld ist leer.
Please enter a username. The username field is empty.,Bitte gib einen Benutzernamen ein. Das Benutzernamenfeld ist leer.
Please enter a URL link. The link field is empty.,Bitte gib einen URL-Link ein. Das Linkfeld ist leer.
Please enter a valid URL link,Bitte gib einen gültigen URL-Link ein.
Please enter a title. The title field is empty.,Bitte gib einen Titel ein. Das Titelfeld ist leer.
Please enter a valid username.,Bitte gib einen gültigen Benutzernamen ein.
Please confirm your password. The confirm password field is empty.,Bitte bestätige dein Passwort. Das Bestätigungsfeld ist leer.
The password and confirm password do not match.,Passwort und Bestätigung stimmen nicht überein.
The email is incorrect. Please enter a valid email.,Die E-Mail-Adresse ist falsch. Bitte gib eine gültige E-Mail-Adresse ein.
A verification link has been sent to your email. Please verify the link to log in.,"Ein Bestätigungslink wurde an deine E-Mail gesendet. Bitte bestätige den Link, um dich anzumelden."
"Please verify your email first, then proceed to log in.","Bitte bestätige zuerst deine E-Mail, bevor du dich anmeldest."
Delete Link?,Link löschen?
Phone Code,Telefoncode
No Data Found,Keine Daten gefunden
Are you sure you want to delete this link? This action cannot be undone.,"Bist du sicher, dass du diesen Link löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden."
Uploading post...,Beitrag wird hochgeladen...
Uploading story...,Story wird hochgeladen...
Post uploaded successfully.,Beitrag erfolgreich hochgeladen.
Story uploaded successfully.,Story erfolgreich hochgeladen.
Uploading failed.,Upload fehlgeschlagen.
Add Filter,Filter hinzufügen
Apply to all,Auf alle anwenden
An error occurred while applying the video filter.,Beim Anwenden des Videofilters ist ein Fehler aufgetreten.
An error occurred while compress the video.,Beim Komprimieren des Videos ist ein Fehler aufgetreten.
Delete Post?,Beitrag löschen?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Bist du sicher, dass du diesen Beitrag löschen möchtest? Einmal gelöscht, kann er nicht wiederhergestellt werden."
Your post has been pinned.,Dein Beitrag wurde angeheftet.
Your post has been unpinned.,Dein Beitrag wurde gelöst.
You can pin maximum @pin_count post.,Du kannst maximal @pin_count Beiträge anheften.
You can pin maximum @pin_comment_count comment.,Du kannst maximal @pin_comment_count Kommentare anheften.
A reset password link has been sent to your email. Please use it to reset your password.,"Ein Link zum Zurücksetzen deines Passworts wurde an deine E-Mail gesendet. Bitte verwende ihn, um dein Passwort zurückzusetzen."
Copyright Infringement,Urheberrechtsverletzung
Hate Speech,Hassrede
Harassment or Bullying,Belästigung oder Mobbing
Violence or Threats,Gewalt oder Drohungen
Nudity or Sexual Content,Nacktheit oder sexueller Inhalt
Terrorism or Extremist Content,Terrorismus oder extremistischer Inhalt
Scams or Fraud,Betrug oder Abzocke
Spam,Spam
Impersonation,Identitätsdiebstahl
Misinformation,Falschinformationen
Reason,Grund
Please provide a detailed reason for the report.,Bitte gib einen detaillierten Grund für die Meldung an.
Report submitted successfully.,Meldung erfolgreich eingereicht.
Block @username!,@username blockieren!
UnBlock @username!,@username entblocken!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Bist du sicher, dass du diesen Nutzer blockieren möchtest? Du wirst seine Follower/folgen nicht mehr sehen können und er wird dein Profil, Fotos oder Beiträge nicht mehr sehen können. Einmal blockiert, kann dieser Nutzer nicht mehr mit dir chatten und du kannst nicht mehr mit ihm chatten."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Einmal entblockt, kann dieser Nutzer wieder mit dir chatten und du kannst sein Profil/Fotos/Beiträge sehen."
You are bock this user,Du hast diesen Nutzer blockiert
This user is freeze,Dieser Nutzer ist gesperrt
Delete Comment!,Kommentar löschen!
Delete Reply Comment!,Antwort-Kommentar löschen!
Are you sure you want to delete this comment? This action cannot be undone.,"Bist du sicher, dass du diesen Kommentar löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden."
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!",Möchtest du dein Konto wirklich löschen? Alle deine Daten werden gelöscht und können nicht wiederhergestellt werden!
Do you really want to proceed?,Möchtest du wirklich fortfahren?
Are you sure you want to log out? You will need to log in again to access your account.,"Bist du sicher, dass du dich abmelden möchtest? Du musst dich erneut anmelden, um auf dein Konto zuzugreifen."
Logout!,Abmelden!
Delete Your Account!,Dein Konto löschen!
There is nothing we can show you for now.,Es gibt aktuell nichts anzuzeigen.
music,Musik
Discard edits?,Änderungen verwerfen?
Start Again?,Neu starten?
Start Again,Neu starten
"If you go back now, you'll lose all the edits you've made.","Wenn du jetzt zurückgehst, gehen alle deine Änderungen verloren."
"If you go back now, you'll lose this draft","Wenn du jetzt zurückgehst, geht dieser Entwurf verloren."
Discover,Entdecken
No location found.,Kein Ort gefunden.
Start searching for a location.,Beginne mit der Suche nach einem Ort.
Only,Nur
Current Value,Aktueller Wert
Account Details,Kontodetails
Select Gateway,Gateway auswählen
You cannot enter more than @coin coins!,Du kannst nicht mehr als @coin Münzen eingeben!
Redeem gateway not found.,Einlösungs-Gateway nicht gefunden.
Record up to @second seconds.,Nimm bis zu @second Sekunden auf.
Allow Camera & Microphone Access,Erlaube Kamera- und Mikrofonzugriff
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","Um Fotos aufzunehmen, Videos aufzunehmen und Sprachfunktionen zu nutzen, benötigt @app_name Zugriff auf deine Kamera und dein Mikrofon. Bitte erteile die Berechtigung in deinen Geräteeinstellungen."
Open setting,Einstellungen öffnen
Delete Story?,Story löschen?
Are you sure you want to delete this story?,"Bist du sicher, dass du diese Story löschen möchtest?"
Are you sure you want to delete this text?,"Bist du sicher, dass du diesen Text löschen möchtest?"
Music download failed.,Musikdownload fehlgeschlagen.
View More,Mehr anzeigen
Download completed successfully!,Download erfolgreich abgeschlossen!
Download has started...,Download hat begonnen...
User not found.,Nutzer nicht gefunden.
Delete Message?,Nachricht löschen?
Delete @user_name?,@user_name löschen?
"After deleting this user, you will not be able to restore the chat.",Nach dem Löschen dieses Nutzers kannst du den Chat nicht wiederherstellen.
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,Diese Nachricht wird nur für dich gelöscht. Die andere Person kann sie weiterhin sehen. Möchtest du fortfahren?
Send Media,Medien senden
Select Media,Medien auswählen
Video,Video
Image,Bild
You received a gift!,Du hast ein Geschenk erhalten!
You have sent a gift!,Du hast ein Geschenk gesendet!
Enable Microphone Access,Mikrofonzugriff aktivieren
Enable Camera and Microphone Access,Kamera- und Mikrofonzugriff aktivieren
Enable photos and videos access,Foto- und Videozugriff aktivieren
"To Share photos and videos, @app_name needs access to Storage on your device.","Um Fotos und Videos zu teilen, benötigt @app_name Zugriff auf deinen Speicher."
You'll need to enable camera and microphone access in your settings to send a photo or video message.,"Du musst Kamera und Mikrofon in deinen Einstellungen aktivieren, um eine Foto- oder Video-Nachricht zu senden."
You'll need to enable microphone access in your settings to send a voice message.,"Du musst das Mikrofon in deinen Einstellungen aktivieren, um eine Sprachnachricht zu senden."
Settings,Einstellungen
Delete for you,Nur für dich löschen
Unsend,Unsend
You can share with up to @share_chat_limit chats.,Du kannst mit bis zu @share_chat_limit Chats teilen.
@chat_user_name wants to chat with you. Approve it if you want to chat.,"@chat_user_name möchte mit dir chatten. Akzeptiere es, wenn du möchtest."
You cannot send messages to this account unless you unblock them.,"Du kannst diesem Konto keine Nachrichten senden, es sei denn, du entblockst es."
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,"Du hast @block_user_name blockiert \nDu kannst diesem Konto keine Nachrichten senden, es sei denn, du entblockst es."
You are blocked by this user.,Du wurdest von diesem Nutzer blockiert.
Copied to clipboard.,In die Zwischenablage kopiert.
Message sent,Nachricht gesendet
Story unavailable,Story nicht verfügbar
Delete Music?,Musik löschen?
Are you sure you want to delete this music? This action cannot be undone.,"Bist du sicher, dass du diese Musik löschen möchtest? Diese Aktion kann nicht rückgängig gemacht werden."
Session Expired – Logged in on Another Device,Sitzung abgelaufen - Auf anderem Gerät angemeldet
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","Aus Sicherheitsgründen erlaubt @app_name nur eine aktive Sitzung pro Konto. Es scheint, dass du dich auf einem anderen Gerät mit derselben E-Mail angemeldet hast. Zum Schutz deines Kontos haben wir dich automatisch von diesem Gerät abgemeldet.\n\nFalls du das nicht warst, melde dich bitte erneut an. Du kannst dein Passwort auf dem Anmeldebildschirm ändern, falls nötig."
Your Account Has Been Frozen,Dein Konto wurde gesperrt
Request to Unfreeze My Account,Antrag auf Entsperrung
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.","Es tut uns leid, aber es scheint, dass dein Konto vorübergehend gesperrt wurde. Dies könnte aufgrund ungewöhnlicher Aktivitäten oder politischer Bedenken sein.\n\nAus Sicherheitsgründen und um den richtigen Zugang zu gewährleisten, wurde dein Konto gesperrt. Du kannst die App nicht nutzen, bis das Problem gelöst ist.\n\nUm dein Konto zu entsperren oder weitere Informationen zu erhalten, wende dich bitte an unser Support-Team unter @support_mail. Wir helfen dir gerne und tun unser Bestes, um dich so schnell wie möglich wieder einzurichten.\n\nVielen Dank für deine Geduld und dein Verständnis."
Text is rejected because it includes such things: ,"Text wurde abgelehnt, weil er folgendes enthält:"
Media is rejected because it contains such things: ,"Medien wurden abgelehnt, weil sie folgendes enthalten:"
Restrict users requests to join.,Nutzeranfragen zum Beitritt einschränken.
End This Stream!,Diesen Stream beenden!
Do you really want to end this streaming?,Möchtest du diesen Stream wirklich beenden?
End Battle?,Battle beenden?
Are you sure you want to stop the battle? This action can’t be undone.,"Bist du sicher, dass du die Battle beenden möchtest? Diese Aktion kann nicht rückgängig gemacht werden."
No Join Requests Yet,Noch keine Beitrittsanfragen
View and manage audience requests to join the live stream.,"Verwalte die Anfragen von Zuschauern, die dem Livestream beitreten möchten."
No Viewers Yet,Noch keine Zuschauer
Audience members will appear here when they join your live stream.,"Zuschauer werden hier angezeigt, wenn sie deinem Livestream beitreten."
No One Invited,Noch niemand eingeladen
You haven’t invited anyone yet. Invited users will be listed here.,Eingeladene Nutzer werden hier angezeigt.
No Co-hosts Yet,Noch keine Co-Hosts
Co-hosts will appear here once they accept your invitation.,"Co-Hosts werden hier angezeigt, sobald sie deine Einladung annehmen."
You are sending coins to the above user.,Du sendest Münzen an den oben genannten Nutzer.
No Live Streams Yet,Noch keine Livestreams
Live streams will appear here when someone goes live.,"Livestreams werden hier angezeigt, wenn jemand live geht."
No Reels Yet,Noch keine Reels
This user hasn’t posted any reels so far.,Dieser Nutzer hat noch keine Reels gepostet.
You Haven’t Shared Any Posts,Du hast noch keine Beiträge geteilt
Start posting to share your moments with the community.,"Beginne mit dem Posten, um deine Momente mit der Community zu teilen."
No Posts Yet,Noch keine Beiträge
This user hasn’t shared any posts so far.,Dieser Nutzer hat noch keine Beiträge geteilt.
Start a Conversation,Starte eine Unterhaltung
Your chats will show up here once you start messaging someone.,"Deine Chats werden hier angezeigt, sobald du mit jemandem schreibst."
No Requests Right Now,Aktuell keine Anfragen
New chat requests will appear here when someone messages you.,"Neue Chat-Anfragen werden hier angezeigt, wenn dir jemand schreibt."
Your request to join the live stream is pending approval.,Deine Anfrage zum Beitritt zum Livestream wartet auf Bestätigung.
Joined the stream,Ist dem Stream beigetreten
Join,Beitreten
wants you to be in this live video,möchte dich in diesem Live-Video haben
requesting to join the stream.,möchte dem Stream beitreten.
The host has declined your request to join the live stream.,Der Host hat deine Anfrage zum Beitritt zum Livestream abgelehnt.
Your request to join the live stream has been sent to the host.,Deine Anfrage zum Beitritt zum Livestream wurde an den Host gesendet.
Exit live stream?,Livestream verlassen?
"If you check this profile, you will exit the live stream.","Wenn du dieses Profil ansiehst, verlässt du den Livestream."
You can’t leave the live stream while a battle is in progress.,Du kannst den Livestream während einer Battle nicht verlassen.
Get Back,Zurück
Exit Live Stream?,Livestream verlassen?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ","Bist du sicher, dass du den Livestream verlassen möchtest?\nWenn der Stream beendet ist, kannst du nicht mehr beitreten."
Scan QR Code,QR-Code scannen
Scan the QR of the profile you want to search.,"Scanne den QR-Code des Profils, das du suchen möchtest."
Upload From Gallery,Aus Galerie hochladen
Nothing to Watch Yet,Noch nichts zu sehen
Reels will appear here once new content is shared.,"Reels werden hier angezeigt, sobald neue Inhalte geteilt werden."
Nothing to Show Yet,Noch nichts anzuzeigen
Explore content by entering keywords in the search bar above.,"Gib oben im Suchfeld Stichworte ein, um Inhalte zu entdecken."
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,Ein Künstler aus Portland. Ich finde Inspiration in Natur und Stadtleben. Lass uns verbinden und etwas Schönes erschaffen! 🌿🖌️
Video path not found.,Videopfad nicht gefunden.
has liked your post,gefällt dein Beitrag
liked your comment.,gefällt dein Kommentar.
has commented on your post : @comment_description,hat deinen Beitrag kommentiert: @comment_description
has commented on your post with a GIF.,hat deinen Beitrag mit einem GIF kommentiert.
@username replied to your comment : @comment_description,@username hat auf deinen Kommentar geantwortet: @comment_description
has mentioned you in post.,hat dich in einem Beitrag erwähnt.
Mentioned you in comment,Hat dich in einem Kommentar erwähnt
has started following you,folgt dir jetzt
has reply mentioned you in comment : @comment_description,hat dich in einer Kommentarantwort erwähnt: @comment_description
has sent you gift,hat dir ein Geschenk gesendet.
No Comments Yet,Noch keine Kommentare
This post doesn’t have any comments. Join in and share your thoughts.,"Dieser Beitrag hat noch keine Kommentare. Sei der erste, der seine Gedanken teilt."
Post sent successfully,Beitrag erfolgreich gesendet
Search @brand_name,Suche @brand_name
Find Reels Around You,Finde Reels in deiner Nähe
Allow location access to explore reels shared by people near you.,"Erlaube Standortzugriff, um Reels von Leuten in deiner Nähe zu entdecken."
Location Services Are Still Disabled,Standortdienste sind noch deaktiviert
"To see nearby reels, please turn on location services in your device settings.","Aktiviere Standortdienste in deinen Geräteeinstellungen, um Reels in deiner Nähe zu sehen."
See places near you.,Orte in deiner Nähe anzeigen.
"To include nearby places, turn on location services.","Aktiviere Standortdienste, um nahegelegene Orte einzubeziehen."
Turn on Location Services,Standortdienste aktivieren
Nothing To Show Here,Hier gibt es nichts anzuzeigen
This user has decided not to show their followings.,"Dieser Nutzer hat sich entschieden, seine Follower nicht anzuzeigen."
No Blocked Users,Keine blockierten Nutzer
Users you block will appear here. You haven’t blocked anyone yet.,"Nutzer, die du blockierst, werden hier angezeigt. Du hast noch niemanden blockiert."
You need to reach the minimum coin amount before you can redeem.,"Du musst den Mindestbetrag an Münzen erreichen, bevor du einlösen kannst."
No Users Found,Keine Nutzer gefunden
Users will appear here when available.,"Nutzer werden hier angezeigt, sobald sie verfügbar sind."
Freeze,Sperren
UnFreeze,Entsperren
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,"Dieses Profil wurde vorübergehend wegen Verstößen oder verdächtiger Aktivitäten gesperrt. Der Zugriff ist eingeschränkt, bis die Überprüfung abgeschlossen ist."
Profile Unavailable,Profil nicht verfügbar
Admin,Admin
Days,Tage
Weeks,Wochen
Months,Monate
Years,Jahre
Day,Tag
Week,Woche
Month,Monat
Year,Jahr
Lifetime,Lebenslang
Annual,Jährlich
6 Month,6 Monate
3 Month,3 Monate
2 Month,2 Monate
Monthly,Monatlich
Weekly,Wöchentlich
@price / Month. Billed @unit_label,@price / Monat. Abgerechnet @unit_label
Give it a try,Probier's aus
@count @get_period Free trial,@count @get_period kostenlose Testphase
Annually,Jährlich
Semi Annually,Halbjährlich
Three Months,Vierteljährlich
Two Months,Zweimonatlich
The host has cancelled your invitation. You can no longer join the live stream.,Der Host hat deine Einladung storniert. Du kannst dem Livestream nicht mehr beitreten.
joined as a co-host,ist als Co-Host beigetreten
Min. @count Followers needed to go Live,"Mindestens @count Follower benötigt, um live zu gehen"
You can add only @limit links in the profile.,Du kannst maximal @limit Links im Profil hinzufügen.
Refresh,Aktualisieren
Lost,Verloren
Connection,Verbindung
It looks like you are not\nconnected to the internet,"Es scheint, du bist nicht mit dem Internet verbunden"
Download failed.,Download fehlgeschlagen.
From,Von
Something went wrong.,Etwas ist schiefgelaufen.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Willkommensbonus auf dein Konto gutgeschrieben!
You've earned your registration bonus! Enjoy your coins and start exploring now!,Du hast deinen Registrierungsbonus erhalten! Genieße deine Münzen und fang an zu entdecken!
You are,Du bist
member,Mitglied
Oops!! Battle Ended Please wait for a while..,Ups!! Die Battle ist vorbei Bitte warte einen Moment..
"Hey, @name is now live","Hey, @name ist jetzt live"
Hurry up and join before it ends.,"Beeil dich und tritt bei, bevor es endet."
Professional Dashboard,Professionelles Dashboard
Track Your Performance,Verfolge deine Leistung
Creator Dashboard,Creator-Dashboard
AI Insights,KI-Einblicke
Content Calendar,Inhaltskalender
Grow Your Business,Baue dein Geschäft aus
Subscription Tiers,Abonnementstufen
My Subscribers,Meine Abonnenten
My Portfolio,Mein Portfolio
Manage Your Account,Konto verwalten
Creator Tier,Creator-Stufe
Account Type Settings,Kontotyp-Einstellungen
My Subscriptions,Meine Abonnements
People,Personen
Content & Feed,Inhalte und Feed
Digital Wellbeing,Digitales Wohlbefinden
AI & Discovery,KI und Entdecken
AI Video Generator,KI-Videogenerator
Moderator Panel,Moderator-Panel
Two-Factor Authentication,Zwei-Faktor-Authentifizierung
Switch Account,Konto wechseln
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","Der Wechsel zu einem persönlichen Konto entfernt den Zugriff auf alle professionellen Tools, einschließlich Analysen, Monetarisierung, Einnahmen-Dashboard, und Teamverwaltung."
Switch to Personal,Zu persönlich wechseln
Creator,Creator
Account,Konto
Part of a Series,Teil einer Serie
Select Previous Part,Vorherigen Teil auswählen
Previous Part,Vorheriger Teil
Next Part,Nächster Teil
