key,value
A reset password link has been sent to your email. Please use it to reset your password.,Un link per reimpostare la password è stato inviato alla tua email. Usalo per reimpostarla.
Copyright Infringement,Violazione copyright
Hate Speech,Discorsi d'odio
Harassment or Bullying,Molestie o bullismo
Violence or Threats,Violenza o minacce
Nudity or Sexual Content,Nudità o contenuti sessuali
Terrorism or Extremist Content,Terrorismo o estremismo
Scams or Fraud,Truffe o frodi
Spam,Spam
Impersonation,Furto d'identità
Misinformation,Disinformazione
Reason,Motivo
Please provide a detailed reason for the report.,Fornisci un motivo dettagliato per la segnalazione.
Report submitted successfully.,Segnalazione inviata con successo.
Block @username!,Blocca @username!
UnBlock @username!,Sblocca @username!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Sei sicuro di voler bloccare questo utente? Non vedrai più i suoi follower/seguiti e non potrà vedere il tuo profilo, foto o post. Una volta bloccato, non potrà più chattare con te."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Una volta sbloccato, questo utente potrà chattare di nuovo con te e vedere il tuo profilo/foto/post."
You are bock this user,Hai bloccato questo utente
This user is freeze,Questo utente è sospeso
Delete Comment!,Elimina commento!
Delete Reply Comment!,Elimina risposta al commento!
Are you sure you want to delete this comment? This action cannot be undone.,Sei sicuro di voler eliminare questo commento? Questa azione è irreversibile.
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!",Vuoi davvero eliminare il tuo account? Tutti i tuoi dati saranno cancellati e non recuperabili!
Do you really want to proceed?,Vuoi davvero procedere?
Are you sure you want to log out? You will need to log in again to access your account.,Sei sicuro di voler uscire? Dovrai riaccedere per usare l'account.
Logout!,Disconnetti!
Delete Your Account!,Elimina il tuo account!
There is nothing we can show you for now.,Non c'è nulla da mostrare al momento.
music,musica
Discard edits?,Annullare le modifiche?
Start Again?,Ricominciare?
Start Again,Ricominciare
"If you go back now, you'll lose all the edits you've made.",Tornando indietro perderai tutte le modifiche.
"If you go back now, you'll lose this draft",Tornando indietro perderai questa bozza.
Discover,Esplora
No location found.,Nessun luogo trovato.
Start searching for a location.,Inizia a cercare un luogo.
Only,Solo
Current Value,Valore attuale
Account Details,Dettagli account
Select Gateway,Seleziona gateway
You cannot enter more than @coin coins!,Non puoi inserire più di @coin monete!
Redeem gateway not found.,Gateway di riscatto non trovato.
Record up to @second seconds.,Registra fino a @second secondi.
Allow Camera & Microphone Access,Consenti accesso a camera e microfono
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","Per scattare foto, registrare video e usare funzioni vocali, @app_name ha bisogno dell'accesso a camera e microfono."
Open setting,Apri impostazioni
Delete Story?,Eliminare la storia?
Are you sure you want to delete this story?,Sei sicuro di voler eliminare questa storia?
Are you sure you want to delete this text?,Sei sicuro di voler eliminare questo testo?
Music download failed.,Download musica fallito.
View More,Vedi altro
Download completed successfully!,Download completato!
Download has started...,Download iniziato...
User not found.,Utente non trovato.
Delete Message?,Eliminare il messaggio?
Delete @user_name?,Eliminare @user_name?
"After deleting this user, you will not be able to restore the chat.","Dopo aver eliminato questo utente, non potrai recuperare la chat."
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,Questo messaggio sarà eliminato solo per te. L'altra persona potrà ancora vederlo. Continuare?
Send Media,Invia media
Select Media,Seleziona media
Video,Video
Image,Immagine
You received a gift!,Hai ricevuto un regalo!
You have sent a gift!,Hai inviato un regalo!
Enable Microphone Access,Abilita accesso microfono
Enable Camera and Microphone Access,Abilita accesso camera e microfono
Enable photos and videos access,Abilita accesso foto e video
"To Share photos and videos, @app_name needs access to Storage on your device.","Per condividere foto e video, @app_name ha bisogno dell'accesso alla memoria del dispositivo."
You'll need to enable camera and microphone access in your settings to send a photo or video message.,Devi abilitare camera e microfono nelle impostazioni per inviare messaggi con foto/video.
You'll need to enable microphone access in your settings to send a voice message.,Devi abilitare il microfono nelle impostazioni per inviare messaggi vocali.
Settings,Impostazioni
Delete for you,Elimina solo per te
Unsend,Annulla invio
You can share with up to @share_chat_limit chats.,Puoi condividere con massimo @share_chat_limit chat.
@chat_user_name wants to chat with you. Approve it if you want to chat.,@chat_user_name vuole chattare con te. Accetta se vuoi.
You cannot send messages to this account unless you unblock them.,Non puoi inviare messaggi a questo account a meno che non lo sblocchi.
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,Hai bloccato @block_user_name \nNon puoi inviare messaggi a questo account a meno che non lo sblocchi.
You are blocked by this user.,Sei bloccato da questo utente.
Copied to clipboard.,Copiato negli appunti.
Message sent,Messaggio inviato
Story unavailable,Storia non disponibile
Delete Music?,Eliminare la musica?
Are you sure you want to delete this music? This action cannot be undone.,Sei sicuro di voler eliminare questa musica? Questa azione è irreversibile.
Session Expired – Logged in on Another Device,Sessione scaduta - Accesso da altro dispositivo
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","Per motivi di sicurezza, @app_name consente solo una sessione attiva per account. Sembra che tu abbia effettuato l'accesso da un altro dispositivo con la stessa email."
Your Account Has Been Frozen,Account sospeso
Request to Unfreeze My Account,Richiesta di riattivazione
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.","Siamo spiacenti, ma il tuo account è stato temporaneamente sospeso per attività insolite o violazioni."
Text is rejected because it includes such things: ,Il testo è stato rifiutato perché contiene:
Media is rejected because it contains such things: ,I media sono stati rifiutati perché contengono:
Restrict users requests to join.,Limita richieste di partecipazione utenti.
End This Stream!,Terminare questa diretta!
Do you really want to end this streaming?,Vuoi davvero terminare questa diretta?
End Battle?,Terminare la battle?
Are you sure you want to stop the battle? This action can’t be undone.,Sei sicuro di voler terminare la battle? Questa azione è irreversibile.
No Join Requests Yet,Nessuna richiesta di partecipazione
View and manage audience requests to join the live stream.,Gestisci le richieste del pubblico di unirsi alla diretta.
No Viewers Yet,Ancora nessun spettatore
Audience members will appear here when they join your live stream.,Gli spettatori appariranno qui quando si uniranno.
No One Invited,Nessun invitato
You haven’t invited anyone yet. Invited users will be listed here.,Gli utenti invitati appariranno qui.
No Co-hosts Yet,Nessun co-conduttore
Co-hosts will appear here once they accept your invitation.,I co-conduttori appariranno qui dopo aver accettato l'invito.
You are sending coins to the above user.,Stai inviando monete all'utente sopra.
No Live Streams Yet,Nessuna diretta al momento
Live streams will appear here when someone goes live.,Le dirette appariranno qui quando qualcuno andrà in live.
No Reels Yet,Nessun Reel ancora
This user hasn’t posted any reels so far.,Questo utente non ha ancora pubblicato Reel.
You Haven’t Shared Any Posts,Non hai ancora condiviso post
Start posting to share your moments with the community.,Inizia a pubblicare per condividere momenti con la community.
No Posts Yet,Nessun post ancora
This user hasn’t shared any posts so far.,Questo utente non ha ancora condiviso post.
Start a Conversation,Inizia una conversazione
Your chats will show up here once you start messaging someone.,Le tue chat appariranno qui quando inizierai a messaggiare.
No Requests Right Now,Nessuna richiesta al momento
New chat requests will appear here when someone messages you.,Le nuove richieste di chat appariranno qui.
Your request to join the live stream is pending approval.,La tua richiesta di unirti alla diretta è in attesa di approvazione.
Joined the stream,Si è unito alla diretta
Join,Unisciti
wants you to be in this live video,vuole che tu partecipi a questa live
requesting to join the stream.,richiede di unirsi alla diretta.
The host has declined your request to join the live stream.,Il conduttore ha rifiutato la tua richiesta.
Your request to join the live stream has been sent to the host.,La tua richiesta è stata inviata al conduttore.
Exit live stream?,Uscire dalla diretta?
"If you check this profile, you will exit the live stream.","Se visualizzi questo profilo, uscirai dalla diretta."
You can’t leave the live stream while a battle is in progress.,Non puoi uscire durante una battle.
Get Back,Torna indietro
Exit Live Stream?,Uscire dalla diretta?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ","Sei sicuro di voler uscire?\nSe la diretta è terminata, non potrai rientrare."
Scan QR Code,Scansiona QR code
Scan the QR of the profile you want to search.,Scansiona il QR code del profilo che cerchi.
Upload From Gallery,Carica dalla galleria
Nothing to Watch Yet,Niente da guardare ancora
Reels will appear here once new content is shared.,I Reel appariranno qui quando saranno condivisi.
Nothing to Show Yet,Niente da mostrare ancora
Explore content by entering keywords in the search bar above.,Cerca contenuti digitando parole chiave sopra.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,Un artista di Portland. Traggo ispirazione da natura e vita urbana. Connettiamoci e creiamo insieme! 🌿🖌️
Video path not found.,Percorso video non trovato.
has liked your post,ha messo like al tuo post
liked your comment.,ha messo like al tuo commento.
has commented on your post : @comment_description,ha commentato il tuo post: @comment_description
has commented on your post with a GIF.,ha commentato il tuo post con una GIF.
@username replied to your comment : @comment_description,@username ha risposto al tuo commento: @comment_description
has mentioned you in post.,ti ha menzionato in un post.
Mentioned you in comment,Ti ha menzionato in un commento
has started following you,ha iniziato a seguirti
has reply mentioned you in comment : @comment_description,ti ha menzionato in una risposta: @comment_description
has sent you gift,ti ha inviato un regalo.
No Comments Yet,Ancora nessun commento
This post doesn’t have any comments. Join in and share your thoughts.,Sii il primo a commentare questo post.
Post sent successfully,Post inviato con successo
Search @brand_name,Cerca @brand_name
Find Reels Around You,Trova Reel vicino a te
Allow location access to explore reels shared by people near you.,Consenti l'accesso alla posizione per vedere Reel condivisi nelle tue vicinanze.
Location Services Are Still Disabled,Servizi di localizzazione disattivati
"To see nearby reels, please turn on location services in your device settings.",Attivali nelle impostazioni per vedere Reel vicini.
See places near you.,Visualizza luoghi vicini
"To include nearby places, turn on location services.",Attiva i servizi di localizzazione per includere luoghi vicini.
Turn on Location Services,Attiva servizi di localizzazione
Nothing To Show Here,Niente da mostrare qui
This user has decided not to show their followings.,Questo utente ha scelto di non mostrare i seguiti.
No Blocked Users,Nessun utente bloccato
Users you block will appear here. You haven’t blocked anyone yet.,Gli utenti bloccati appariranno qui. Non ne hai ancora bloccati.
You need to reach the minimum coin amount before you can redeem.,Devi raggiungere l'importo minimo prima di riscattare.
No Users Found,Nessun utente trovato
Users will appear here when available.,Gli utenti appariranno qui quando disponibili.
Freeze,Sospendi
UnFreeze,Riattiva
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,Questo profilo è sospeso per violazioni o attività sospette. L'accesso è limitato.
Profile Unavailable,Profilo non disponibile
Admin,Admin
Days,Giorni
Weeks,Settimane
Months,Mesi
Years,Anni
Day,Giorno
Week,Settimana
Month,Mese
Year,Anno
Lifetime,A vita
Annual,Annuale
6 Month,6 mesi
3 Month,3 mesi
2 Month,2 mesi
Monthly,Mensile
Weekly,Settimanale
@price / Month. Billed @unit_label,@price / Mese. Fatturato @unit_label
Give it a try,Provalo
@count @get_period Free trial,@count @get_period Prova gratuita
Annually,Annuale
Semi Annually,Semestrale
Three Months,Trimestrale
Two Months,Bimestrale
The host has cancelled your invitation. You can no longer join the live stream.,Il conduttore ha annullato il tuo invito. Non puoi più unirti.
joined as a co-host,si è unito come co-conduttore
Min. @count Followers needed to go Live,Servono almeno @count follower per fare live
You can add only @limit links in the profile.,Puoi aggiungere massimo @limit link nel profilo.
Refresh,Aggiorna
Lost,Persa
Connection,Connessione
It looks like you are not\nconnected to the internet,Sembra che tu non sia connesso a Internet
Download failed.,Download fallito.
From,Da
Something went wrong.,Qualcosa è andato storto.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Bonus di benvenuto accreditato!
You've earned your registration bonus! Enjoy your coins and start exploring now!,Hai ottenuto il bonus di registrazione! Goditi le tue monete e inizia a esplorare!
You are,Sei
member,membro
Oops!! Battle Ended Please wait for a while..,Ops! La battle è finita. Attendi un momento..
"Hey, @name is now live","Ehi, @name è in diretta ora"
Hurry up and join before it ends.,Unisciti prima che finisca.
Professional Dashboard,Dashboard professionale
Track Your Performance,Monitora le tue prestazioni
Creator Dashboard,Dashboard creatore
AI Insights,Approfondimenti IA
Content Calendar,Calendario dei contenuti
Grow Your Business,Fai crescere la tua attività
Subscription Tiers,Livelli di abbonamento
My Subscribers,I miei iscritti
My Portfolio,Il mio portfolio
Manage Your Account,Gestisci il tuo account
Creator Tier,Livello creatore
Account Type Settings,Impostazioni tipo di account
My Subscriptions,I miei abbonamenti
People,Persone
Content & Feed,Contenuti e feed
Digital Wellbeing,Benessere digitale
AI & Discovery,IA e scoperta
AI Video Generator,Generatore video IA
Moderator Panel,Pannello moderatore
Two-Factor Authentication,Autenticazione a due fattori
Switch Account,Cambia account
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","Il passaggio a un account personale rimuoverà l'accesso a tutti gli strumenti professionali, inclusi analisi, monetizzazione, dashboard dei guadagni, e gestione del team."
Switch to Personal,Passa a personale
Creator,Creatore
Account,Account
Part of a Series,Parte di una serie
Select Previous Part,Seleziona la parte precedente
Previous Part,Parte precedente
Next Part,Parte successiva
