key,value
My QR Code,My QR Code
Coin Wallet,Coin Wallet
Privacy,Privacy
Who Can See Posts,Who Can See Posts
Show My Followings,Show My Followings
Show Chat Button,Show Chat Button
Notifications,Notifications
General,General
Post Likes,Post Likes
Comments On Post,Comments On Post
Mentions,Mentions
Gifts Received,Gifts Received
Chat Message,Chat Message
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.
No Ads,No Ads
Get Verified,Get Verified
Subscribe Now,Subscribe Now
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.
User ID,User ID
Profile Image,Profile Image
Username,Username
Bio,Bio
Phone Number,Phone Number
Links,Links
Link,Link
Title,Title
Add Link,Add Link
Edit Link,Edit Link
Edit,Edit
Delete,Delete
Save,Save
Share,Share
Share Post,Share Post
Pin,Pin
Unpin,Unpin
Block,Block
UnBlock,UnBlock
Scan This code\nto check the profile,Scan This code\nto check the profile
Balance,Balance
Collected*,Collected*
Gifted*,Gifted*
GIF,GIF
Purchased*,Purchased*
Coin Shop,Coin Shop
Recharge your wallet. And\nsend gifts to your favorite creators.,Recharge your wallet. And\nsend gifts to your favorite creators.
Purchase,Purchase
Withdrawals,Withdrawals
Request Withdrawal,Request Withdrawal
Pending,Pending
Completed,Completed
Rejected,Rejected
Coin Balance,Coin Balance
Estimated Value,Estimated Value
Estimated Amount,Estimated Amount
Amount,Amount
Enter Coin Amount..,Enter Coin Amount..
Converted Amount,Converted Amount
Create Feed,Create Feed
Write something here..,Write something here..
Mention,Mention
Hashtags,Hashtags
Location,Location
Allow Comments,Allow Comments
Select Music,Select Music
Explore,Explore
Categories,Categories
Saved,Saved
Preview,Preview
Change Cover,Change Cover
Upload Now,Upload Now
Discard,Discard
Done,Done
Font Family,Font Family
Type Something...,Type Something...
Users,Users
User,User
Places,Places
Enter Live Stream Title...,Enter Live Stream Title...
Start Live,Start Live
Stop,Stop
Start Battle,Start Battle
Battle\nStarting\nin,Battle\nStarting\nin
Cancel,Cancel
Yes,Yes
Members,Members
Audience,Audience
Invited,Invited
Invite,Invite
Co-hosts,Co-hosts
Refuse,Refuse
Accept,Accept
Host,Host
Guest,Guest
Victory,Victory
Defeat,Defeat
Streamed For,Streamed For
Followers Gained,Followers Gained
Total Coins Collected,Total Coins Collected
Go Home,Go Home
Stream Ended!,Stream Ended!
Your Stream Ended!,Your Stream Ended!
Below is the summary of your stream!,Below is the summary of your stream!
From Battle,From Battle
Live,Live
Check Profile,Check Profile
You are sending coins to @color Participant,You are sending coins to @color Participant
You will be sent back to main view in...,You will be sent back to main view in...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,The live stream has ended because min. @viewers_count viewers are required to keep it going.
Please enter an email. The email field is empty.,Please enter an email. The email field is empty.
Please enter a password. The password field is empty.,Please enter a password. The password field is empty.
No user found with that email. Please register with this email.,No user found with that email. Please register with this email.
Incorrect password provided for this user.,Incorrect password provided for this user.
The password provided is too weak.,The password provided is too weak.
The account already exists for that email.,The account already exists for that email.
Please enter a full name. The full name field is empty.,Please enter a full name. The full name field is empty.
Please enter a username. The username field is empty.,Please enter a username. The username field is empty.
Please enter a URL link. The link field is empty.,Please enter a URL link. The link field is empty.
Please enter a valid URL link,Please enter a valid URL link
Please enter a title. The title field is empty.,Please enter a title. The title field is empty.
Please enter a valid username.,Please enter a valid username.
Please confirm your password. The confirm password field is empty.,Please confirm your password. The confirm password field is empty.
The password and confirm password do not match.,The password and confirm password do not match.
The email is incorrect. Please enter a valid email.,The email is incorrect. Please enter a valid email.
A verification link has been sent to your email. Please verify the link to log in.,A verification link has been sent to your email. Please verify the link to log in.
"Please verify your email first, then proceed to log in.","Please verify your email first, then proceed to log in."
Delete Link?,Delete Link?
Phone Code,Phone Code
No Data Found,No Data Found
Are you sure you want to delete this link? This action cannot be undone.,Are you sure you want to delete this link? This action cannot be undone.
Uploading post...,Uploading post...
Uploading story...,Uploading story...
Post uploaded successfully.,Post uploaded successfully.
Story uploaded successfully.,Story uploaded successfully.
Uploading failed.,Uploading failed.
Add Filter,Add Filter
Apply to all,Apply to all
An error occurred while applying the video filter.,An error occurred while applying the video filter.
An error occurred while compress the video.,An error occurred while compress the video.
Delete Post?,Delete Post?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Are you sure you want to delete this post? Once deleted, it cannot be restored."
Your post has been pinned.,Your post has been pinned.
Your post has been unpinned.,Your post has been unpinned.
You can pin maximum @pin_count post.,You can pin maximum @pin_count post.
You can pin maximum @pin_comment_count comment.,You can pin maximum @pin_comment_count comment.
A reset password link has been sent to your email. Please use it to reset your password.,A reset password link has been sent to your email. Please use it to reset your password.
Copyright Infringement,Copyright Infringement
Hate Speech,Hate Speech
Harassment or Bullying,Harassment or Bullying
Violence or Threats,Violence or Threats
Nudity or Sexual Content,Nudity or Sexual Content
Terrorism or Extremist Content,Terrorism or Extremist Content
Scams or Fraud,Scams or Fraud
Spam,Spam
Impersonation,Impersonation
Misinformation,Misinformation
Reason,Reason
Please provide a detailed reason for the report.,Please provide a detailed reason for the report.
Report submitted successfully.,Report submitted successfully.
Block @username!,Block @username!
UnBlock @username!,UnBlock @username!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following."
You are bock this user,You are bock this user
This user is freeze,This user is freeze
Delete Comment!,Delete Comment!
Delete Reply Comment!,Delete Reply Comment!
Are you sure you want to delete this comment? This action cannot be undone.,Are you sure you want to delete this comment? This action cannot be undone.
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!","Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!"
Do you really want to proceed?,Do you really want to proceed?
Are you sure you want to log out? You will need to log in again to access your account.,Are you sure you want to log out? You will need to log in again to access your account.
Logout!,Logout!
Delete Your Account!,Delete Your Account!
There is nothing we can show you for now.,There is nothing we can show you for now.
music,music
Discard edits?,Discard edits?
Start Again?,Start Again?
Start Again,Start Again
"If you go back now, you'll lose all the edits you've made.","If you go back now, you'll lose all the edits you've made."
"If you go back now, you'll lose this draft","If you go back now, you'll lose this draft"
Discover,Discover
No location found.,No location found.
Start searching for a location.,Start searching for a location.
Only,Only
Current Value,Current Value
Account Details,Account Details
Select Gateway,Select Gateway
You cannot enter more than @coin coins!,You cannot enter more than @coin coins!
Redeem gateway not found.,Redeem gateway not found.
Record up to @second seconds.,Record up to @second seconds.
Allow Camera & Microphone Access,Allow Camera & Microphone Access
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings."
Open setting,Open setting
Delete Story?,Delete Story?
Are you sure you want to delete this story?,Are you sure you want to delete this story?
Are you sure you want to delete this text?,Are you sure you want to delete this text?
Music download failed.,Music download failed.
View More,View More
Download completed successfully!,Download completed successfully!
Download has started...,Download has started...
User not found.,User not found.
Delete Message?,Delete Message?
Delete @user_name?,Delete @user_name?
"After deleting this user, you will not be able to restore the chat.","After deleting this user, you will not be able to restore the chat."
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?
Send Media,Send Media
Select Media,Select Media
Video,Video
Image,Image
You received a gift!,You received a gift!
You have sent a gift!,You have sent a gift!
Enable Microphone Access,Enable Microphone Access
Enable Camera and Microphone Access,Enable Camera and Microphone Access
Enable photos and videos access,Enable photos and videos access
"To Share photos and videos, @app_name needs access to Storage on your device.","To Share photos and videos, @app_name needs access to Storage on your device."
You'll need to enable camera and microphone access in your settings to send a photo or video message.,You'll need to enable camera and microphone access in your settings to send a photo or video message.
You'll need to enable microphone access in your settings to send a voice message.,You'll need to enable microphone access in your settings to send a voice message.
Settings,Settings
Delete for you,Delete for you
Unsend,Unsend
You can share with up to @share_chat_limit chats.,You can share with up to @share_chat_limit chats.
@chat_user_name wants to chat with you. Approve it if you want to chat.,@chat_user_name wants to chat with you. Approve it if you want to chat.
You cannot send messages to this account unless you unblock them.,You cannot send messages to this account unless you unblock them.
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.
You are blocked by this user.,You are blocked by this user.
Copied to clipboard.,Copied to clipboard.
Message sent,Message sent
Story unavailable,Story unavailable
Delete Music?,Delete Music?
Are you sure you want to delete this music? This action cannot be undone.,Are you sure you want to delete this music? This action cannot be undone.
Session Expired – Logged in on Another Device,Session Expired – Logged in on Another Device
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed."
Your Account Has Been Frozen,Your Account Has Been Frozen
Request to Unfreeze My Account,Request to Unfreeze My Account
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.","We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding."
Text is rejected because it includes such things: ,Text is rejected because it includes such things: 
Media is rejected because it contains such things: ,Media is rejected because it contains such things: 
Restrict users requests to join.,Restrict users requests to join.
End This Stream!,End This Stream!
Do you really want to end this streaming?,Do you really want to end this streaming?
End Battle?,End Battle?
Are you sure you want to stop the battle? This action can’t be undone.,Are you sure you want to stop the battle? This action can’t be undone.
No Join Requests Yet,No Join Requests Yet
View and manage audience requests to join the live stream.,View and manage audience requests to join the live stream.
No Viewers Yet,No Viewers Yet
Audience members will appear here when they join your live stream.,Audience members will appear here when they join your live stream.
No One Invited,No One Invited
You haven’t invited anyone yet. Invited users will be listed here.,You haven’t invited anyone yet. Invited users will be listed here.
No Co-hosts Yet,No Co-hosts Yet
Co-hosts will appear here once they accept your invitation.,Co-hosts will appear here once they accept your invitation.
You are sending coins to the above user.,You are sending coins to the above user.
No Live Streams Yet,No Live Streams Yet
Live streams will appear here when someone goes live.,Live streams will appear here when someone goes live.
No Reels Yet,No Reels Yet
This user hasn’t posted any reels so far.,This user hasn’t posted any reels so far.
You Haven’t Shared Any Posts,You Haven’t Shared Any Posts
Start posting to share your moments with the community.,Start posting to share your moments with the community.
No Posts Yet,No Posts Yet
This user hasn’t shared any posts so far.,This user hasn’t shared any posts so far.
Start a Conversation,Start a Conversation
Your chats will show up here once you start messaging someone.,Your chats will show up here once you start messaging someone.
No Requests Right Now,No Requests Right Now
New chat requests will appear here when someone messages you.,New chat requests will appear here when someone messages you.
Your request to join the live stream is pending approval.,Your request to join the live stream is pending approval.
Joined the stream,Joined the stream
Join,Join
wants you to be in this live video,wants you to be in this live video
requesting to join the stream.,requesting to join the stream.
The host has declined your request to join the live stream.,The host has declined your request to join the live stream.
Your request to join the live stream has been sent to the host.,Your request to join the live stream has been sent to the host.
Exit live stream?,Exit live stream?
"If you check this profile, you will exit the live stream.","If you check this profile, you will exit the live stream."
You can’t leave the live stream while a battle is in progress.,You can’t leave the live stream while a battle is in progress.
Get Back,Get Back
Exit Live Stream?,Exit Live Stream?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ","Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. "
Scan QR Code,Scan QR Code
Scan the QR of the profile you want to search.,Scan the QR of the profile you want to search.
Upload From Gallery,Upload From Gallery
Nothing to Watch Yet,Nothing to Watch Yet
Reels will appear here once new content is shared.,Reels will appear here once new content is shared.
Nothing to Show Yet,Nothing to Show Yet
Explore content by entering keywords in the search bar above.,Explore content by entering keywords in the search bar above.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️
Video path not found.,Video path not found.
has liked your post,has liked your post
liked your comment.,liked your comment.
has commented on your post : @comment_description,has commented on your post : @comment_description
has commented on your post with a GIF.,has commented on your post with a GIF.
@username replied to your comment : @comment_description,@username replied to your comment : @comment_description
has mentioned you in post.,has mentioned you in post.
Mentioned you in comment,Mentioned you in comment
has started following you,has started following you
has reply mentioned you in comment : @comment_description,has reply mentioned you in comment : @comment_description
has sent you gift,has sent you gift
No Comments Yet,No Comments Yet
This post doesn’t have any comments. Join in and share your thoughts.,This post doesn’t have any comments. Join in and share your thoughts.
Post sent successfully,Post sent successfully
Search @brand_name,Search @brand_name
Find Reels Around You,Find Reels Around You
Allow location access to explore reels shared by people near you.,Allow location access to explore reels shared by people near you.
Location Services Are Still Disabled,Location Services Are Still Disabled
"To see nearby reels, please turn on location services in your device settings.","To see nearby reels, please turn on location services in your device settings."
See places near you.,See places near you.
"To include nearby places, turn on location services.","To include nearby places, turn on location services."
Turn on Location Services,Turn on Location Services
Nothing To Show Here,Nothing To Show Here
This user has decided not to show their followings.,This user has decided not to show their followings.
No Blocked Users,No Blocked Users
Users you block will appear here. You haven’t blocked anyone yet.,Users you block will appear here. You haven’t blocked anyone yet.
You need to reach the minimum coin amount before you can redeem.,You need to reach the minimum coin amount before you can redeem.
No Users Found,No Users Found
Users will appear here when available.,Users will appear here when available.
Freeze,Freeze
UnFreeze,UnFreeze
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.
Profile Unavailable,Profile Unavailable
Admin,Admin
Days,Days
Weeks,Weeks
Months,Months
Years,Years
Day,Day
Week,Week
Month,Month
Year,Year
Lifetime,Lifetime
Annual,Annual
6 Month,6 Month
3 Month,3 Month
2 Month,2 Month
Monthly,Monthly
Weekly,Weekly
@price / Month. Billed @unit_label,@price / Month. Billed @unit_label
Give it a try,Give it a try
@count @get_period Free trial,@count @get_period Free trial
Annually,Annually
Semi Annually,Semi Annually
Three Months,Three Months
Two Months,Two Months
The host has cancelled your invitation. You can no longer join the live stream.,The host has cancelled your invitation. You can no longer join the live stream.
joined as a co-host,joined as a co-host
Min. @count Followers needed to go Live,Min. @count Followers needed to go Live
You can add only @limit links in the profile.,You can add only @limit links in the profile.
Refresh,Refresh
Lost,Lost
Connection,Connection
It looks like you are not\nconnected to the internet,It looks like you are not\nconnected to the internet
Download failed.,Download failed.
From,From
Something went wrong.,Something went wrong.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Welcome Bonus Credited to Your Wallet!
You've earned your registration bonus! Enjoy your coins and start exploring now!,You've earned your registration bonus! Enjoy your coins and start exploring now!
You are,You are
member,member
Oops!! Battle Ended Please wait for a while..,Oops!! Battle Ended Please wait for a while..
"Hey, @name is now live","Hey, @name is now live"
Hurry up and join before it ends.,Hurry up and join before it ends.
Professional Dashboard,પ્રોફેશનલ ડેશબોર્ડ
Track Your Performance,તમારું પ્રદર્શન ટ્રેક કરો
Creator Dashboard,ક્રિએટર ડેશબોર્ડ
AI Insights,AI આંતરદૃષ્ટિ
Content Calendar,કન્ટેન્ટ કેલેન્ડર
Grow Your Business,તમારો વ્યવસાય વધારો
Subscription Tiers,સબ્સ્ક્રિપ્શન ટાયર્સ
My Subscribers,મારા સબ્સ્ક્રાઇબર્સ
My Portfolio,મારો પોર્ટફોલિયો
Manage Your Account,તમારું ખાતું મેનેજ કરો
Creator Tier,ક્રિએટર ટાયર
Account Type Settings,ખાતા પ્રકાર સેટિંગ્સ
My Subscriptions,મારી સબ્સ્ક્રિપ્શન્સ
People,લોકો
Content & Feed,કન્ટેન્ટ અને ફીડ
Digital Wellbeing,ડિજિટલ સુખાકારી
AI & Discovery,AI અને ડિસ્કવરી
AI Video Generator,AI વીડિયો જનરેટર
Moderator Panel,મોડરેટર પેનલ
Two-Factor Authentication,ટુ-ફેક્ટર ઓથેન્ટિકેશન
Switch Account,ખાતું બદલો
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","વ્યક્તિગત ખાતામાં સ્વિચ કરવાથી એનાલિટિક્સ, મોનેટાઇઝેશન, આવકનું ડેશબોર્ડ, અને ટીમ મેનેજમેન્ટ સહિત તમામ પ્રોફેશનલ ટૂલ્સની ઍક્સેસ દૂર થશે."
Switch to Personal,વ્યક્તિગત પર સ્વિચ કરો
Creator,ક્રિએટર
Account,ખાતું
Part of a Series,શ્રેણીનો ભાગ
Select Previous Part,અગાઉનો ભાગ પસંદ કરો
Previous Part,અગાઉનો ભાગ
Next Part,આગળનો ભાગ
