key,value
Publish,Publiser
Website,Nettsted
Instagram,Instagram
Youtube,Youtube
Shop Now,Handle nå
Feed,Feed
Activity,Aktivitet
System,System
Story,Historie
Unfollow,Slutt å følge
Go Live,Gå live
Levels,Nivåer
"Gather more coins, ascend to new heights, and proudly showcase your badge on your profile for all to admire.","Samle flere mynter, nå nye høyder og vis stolt frem merket ditt på profilen din slik at alle kan beundre det."
Level,Nivå
Collection,Samling
You,Du
Become,Blir
PLUS+,PLUS+
Personal,Personlig
Edit Profile,Rediger profil
Saved Posts,Lagrede innlegg
Languages,Språk
Blocked Users,Blokkerte brukere
My QR Code,Min QR-kode
Coin Wallet,Myntlommebok
Privacy,Personvern
Who Can See Posts,Hvem kan se innlegg
Show My Followings,Vis mine følgere
Show Chat Button,Vis chatteknapp
Notifications,Varsler
General,Generelt
Post Likes,Liker på innlegg
Comments On Post,Kommentarer til innlegg
Mentions,Nemninger
Gifts Received,Mottatte gaver
Chat Message,Chattemelding
Subscribe to Plus and have \nad-free experience and verified\nicon on your profile.,Abonner på Plus og få en gratis opplevelse og verifisert\nicon på profilen din.
No Ads,Ingen annonser
Get Verified,Bli bekreftet
Subscribe Now,Abonner nå
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,Abonnementet fornyes automatisk i henhold til planen med mindre det kanselleres innen 24 timer før slutten av gjeldende periode. Du kan administrere og kansellere abonnementer når som helst fra innstillingene i appbutikken/playbutikken.
User ID,Bruker-ID
Profile Image,Profilbilde
Username,Brukernavn
Bio,Biografi
Phone Number,Telefonnummer
Links,Lenker
Link,Lenke
Title,Tittel
Add Link,Legg til lenke
Edit Link,Rediger lenke
Edit,Rediger
Delete,Slett
Save,Lagre
Share,Del
Share Post,Del innlegg
Pin,Fest
Unpin,Fjern
Block,Blokker
UnBlock,Fjern blokkering
Scan This code\nto check the profile,Skann denne koden for å sjekke profilen
Balance,Saldo
Collected*,Samlet*
Gifted*,Gavegitt*
GIF,GIF
Purchased*,Kjøpt*
Coin Shop,Myntbutikk
Recharge your wallet. And\nsend gifts to your favorite creators.,Fyll opp lommeboken din. Og send gaver til favorittskaperne dine. Kjøp
Purchase,Kjøp
Withdrawals,Uttak
Request Withdrawal,Forespørsel om uttak
Pending,Venter
Completed,Fullført
Rejected,Avvist
Coin Balance,Myntsaldo
Estimated Value,Estimert verdi
Estimated Amount,Estimert beløp
Amount,Beløp
Enter Coin Amount..,Skriv inn myntbeløp..
Converted Amount,Konvertert beløp
Create Feed,Opprett feed
Write something here..,Skriv noe her..
Mention,Nevn
Hashtags,Hashtagger
Location,Sted
Allow Comments,Tillat kommentarer
Select Music,Velg musikk
Explore,Utforsk
Categories,Kategorier
Saved,Lagret
Preview,Forhåndsvisning
Change Cover,Endre omslag
Upload Now,Last opp nå
Discard,Forkast
Done,Ferdig
Font Family,Skriftfamilie
Type Something...,Skriv noe...
Users,Brukere
User,Bruker
Places,Steder
Enter Live Stream Title...,Skriv inn tittel på direktesending...
Start Live,Start direktesending
Stop,Stopp
Start Battle,Start kamp
Battle\nStarting\nin,Kamp\nStarter\n
Cancel,Avbryt
Yes,Ja
Members,Medlemmer
Audience,Publikum
Invited,Invitert
Invite,Inviter
Co-hosts,Medverter
Refuse,Avslå
Accept,Godta
Host,Vert
Guest,Gjest
Victory,Seier
Defeat,Nederlag
Streamed For,Strømmet for
Followers Gained,Følgere opptjent
Total Coins Collected,Totalt antall mynter samlet
Go Home,Gå hjem
Stream Ended!,Strøm avsluttet!
Your Stream Ended!,Din strømming avsluttet!
Below is the summary of your stream!,Nedenfor er et sammendrag av strømmen din!
From Battle,Fra kamp
Live,Live
Check Profile,Sjekk profil
You are sending coins to @color Participant,Du sender mynter til @color-deltaker
You will be sent back to main view in...,Du vil bli sendt tilbake til hovedvisningen om...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,Livestrømmen er avsluttet fordi det kreves minst @viewers_count seere for å fortsette den.
Please enter an email. The email field is empty.,Vennligst skriv inn en e-postadresse. E-postadressefeltet er tomt.
Please enter a password. The password field is empty.,Vennligst skriv inn et passord. Passordfeltet er tomt.
No user found with that email. Please register with this email.,Ingen bruker funnet med den e-postadressen. Vennligst registrer deg med denne e-postadressen.
Incorrect password provided for this user.,Feil passord oppgitt for denne brukeren.
The password provided is too weak.,Passordet som er oppgitt er for svakt.
The account already exists for that email.,Kontoen finnes allerede for den e-postadressen.
Please enter a full name. The full name field is empty.,Vennligst skriv inn et fullt navn. Feltet for fullt navn er tomt.
Please enter a username. The username field is empty.,Vennligst skriv inn et brukernavn. Brukernavnfeltet er tomt.
Please enter a URL link. The link field is empty.,Vennligst skriv inn en URL-lenke. Lenkefeltet er tomt.
Please enter a valid URL link,Vennligst skriv inn en gyldig URL-lenke.
Please enter a title. The title field is empty.,Vennligst skriv inn en tittel. Tittelfeltet er tomt.
Please enter a valid username.,Vennligst skriv inn et gyldig brukernavn.
Please confirm your password. The confirm password field is empty.,Vennligst bekreft passordet ditt. Feltet for å bekrefte passord er tomt.
The password and confirm password do not match.,Passordet og bekreftelsespassordet samsvarer ikke.
The email is incorrect. Please enter a valid email.,E-postadressen er feil. Vennligst skriv inn en gyldig e-postadresse.
A verification link has been sent to your email. Please verify the link to log in.,En bekreftelseslenke er sendt til e-postadressen din. Vennligst bekreft lenken for å logge inn.
"Please verify your email first, then proceed to log in.","Vennligst bekreft e-postadressen din først, og fortsett deretter med å logge inn."
Delete Link?,Slette lenke?
Phone Code,Telefonnummer
No Data Found,Ingen data funnet
Are you sure you want to delete this link? This action cannot be undone.,Er du sikker på at du vil slette denne lenken? Denne handlingen kan ikke angres.
Uploading post...,Laster opp innlegg...
Uploading story...,Laster opp historie...
Post uploaded successfully.,Innlegg lastet opp.
Story uploaded successfully.,Historie lastet opp.
Uploading failed.,Opplasting mislyktes.
Add Filter,Legg til filter
Apply to all,Bruk på alle
An error occurred while applying the video filter.,Det oppsto en feil under bruk av videofilteret.
An error occurred while compress the video.,Det oppsto en feil under komprimering av videoen.
Delete Post?,Slett innlegg?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Er du sikker på at du vil slette dette innlegget? Når det er slettet, kan det ikke gjenopprettes."
Your post has been pinned.,Innlegget ditt er festet.
Your post has been unpinned.,Innlegget ditt er løsnet.
You can pin maximum @pin_count post.,Du kan feste maksimalt @pin_count innlegg.
You can pin maximum @pin_comment_count comment.,Du kan feste maksimalt @pin_comment_count kommentarer.
A reset password link has been sent to your email. Please use it to reset your password.,En lenke for tilbakestilling av passord er sendt til e-postadressen din. Bruk den til å tilbakestille passordet ditt.
Copyright Infringement,Opphavsrettsbrudd
Hate Speech,Hatefulle ytringer
Harassment or Bullying,Trakassering eller mobbing
Violence or Threats,Vold eller trusler
Nudity or Sexual Content,Nakenhet eller seksuelt innhold
Terrorism or Extremist Content,Terrorisme eller ekstremistisk innhold
Scams or Fraud,Svindel eller bedrageri
Spam,Spam
Impersonation,Etterligning av identitet
Misinformation,Feilinformasjon
Reason,Årsak
Please provide a detailed reason for the report.,Vennligst oppgi en detaljert årsak til rapporten.
Report submitted successfully.,Rapport sendt.
Block @username!,Blokker @username!
UnBlock @username!,Opphev blokkering av @username!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Er du sikker på at du vil blokkere denne brukeren? Du vil ikke lenger se følgerne eller følgerne deres, og de vil ikke kunne se profilen, bildene eller innleggene dine. Når den er blokkert, vil ikke denne brukeren lenger kunne chatte med deg, og du vil heller ikke kunne chatte med dem."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Når blokkeringen er opphevet, vil denne brukeren kunne chatte med deg igjen, og du kan også chatte med dem. De vil også kunne se profilen, bildene og innleggene dine, og du vil kunne se følgerne og følgerne deres."
You are bock this user,Du er blokkert for denne brukeren
This user is freeze,Denne brukeren er fryst
Delete Comment!,Slett kommentar!
Delete Reply Comment!,Slett svarkommentar!
Are you sure you want to delete this comment? This action cannot be undone.,Er du sikker på at du vil slette denne kommentaren? Denne handlingen kan ikke angres.
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!","Vil du virkelig slette kontoen din? Alle dataene dine vil bli slettet, og du vil ikke kunne gjenopprette dem igjen!"
Do you really want to proceed?,Vil du virkelig fortsette?
Are you sure you want to log out? You will need to log in again to access your account.,Er du sikker på at du vil logge ut? Du må logge inn på nytt for å få tilgang til kontoen din.
Logout!,Logg ut!
Delete Your Account!,Slett kontoen din!
There is nothing we can show you for now.,Det er ingenting vi kan vise deg for øyeblikket.
music,musikk
Discard edits?,Forkast redigeringer?
Start Again?,Start på nytt?
Start Again,Start på nytt
"If you go back now, you'll lose all the edits you've made.","Hvis du går tilbake nå, mister du alle redigeringene du har gjort."
"If you go back now, you'll lose this draft","Hvis du går tilbake nå, mister du dette utkastet."
Discover,Discover
No location found.,Ingen plassering funnet.
Start searching for a location.,Start søket etter en plassering.
Only,Kun
Current Value,Gjeldende verdi
Account Details,Kontodetaljer
Select Gateway,Velg gateway
You cannot enter more than @coin coins!,"Du kan ikke legge inn mer enn @coin mynter!,"
Redeem gateway not found.,"Innløs gateway ikke funnet.,"
Record up to @second seconds.,"Spill inn opptil @second sekunder.,"
Allow Camera & Microphone Access,Tillat kamera- og mikrofontilgang
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","For å ta bilder, spille inn videoer og bruke talefunksjoner, trenger @app_name tilgang til kameraet og mikrofonen din. Vennligst gi tillatelse i enhetsinnstillingene dine."
Open setting,Åpne innstillinger
Delete Story?,Slett historie?
Are you sure you want to delete this story?,Er du sikker på at du vil slette denne historien?
Are you sure you want to delete this text?,Er du sikker på at du vil slette denne teksten?
Music download failed.,Musikknedlastingen mislyktes.
View More,Vis mer
Download completed successfully!,Nedlastingen fullført!
Download has started...,Nedlastingen har startet...
User not found.,Brukeren ikke funnet.
Delete Message?,Slett melding?
Delete @user_name?,Slett @user_name?
"After deleting this user, you will not be able to restore the chat.","Etter at du har slettet denne brukeren, vil du ikke kunne gjenopprette chatten."
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,Denne meldingen vil bare bli slettet for deg. Den andre personen vil fortsatt kunne se den. Vil du fortsette?
Send Media,Send media
Select Media,Velg media
Video,Video
Image,Bilde
You received a gift!,Du har mottatt en gave!
You have sent a gift!,Du har sendt en gave!
Enable Microphone Access,Aktiver mikrofontilgang
Enable Camera and Microphone Access,Aktiver kamera- og mikrofontilgang
Enable photos and videos access,Aktiver tilgang til bilder og videoer
"To Share photos and videos, @app_name needs access to Storage on your device.",For å dele bilder og videoer trenger @app_name tilgang til lagring på enheten din.
You'll need to enable camera and microphone access in your settings to send a photo or video message.,Du må aktivere kamera- og mikrofontilgang i innstillingene dine for å sende en bilde- eller videomelding.
You'll need to enable microphone access in your settings to send a voice message.,Du må aktivere mikrofontilgang i innstillingene dine for å sende en talemelding.
Settings,Innstillinger
Delete for you,Slett for deg
Unsend,Angre sending
You can share with up to @share_chat_limit chats.,Du kan dele med opptil @share_chat_limit chatter.
@chat_user_name wants to chat with you. Approve it if you want to chat.,@chat_user_name ønsker å chatte med deg. Godkjenn det hvis du vil chatte.
You cannot send messages to this account unless you unblock them.,Du kan ikke sende meldinger til denne kontoen med mindre du opphever blokkeringen av dem.
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,Du blokkerte @block_user_name \nDu kan ikke sende meldinger til denne kontoen med mindre du opphever blokkeringen av dem.
You are blocked by this user.,Du er blokkert av denne brukeren.
Copied to clipboard.,Kopiert til utklippstavlen.
Message sent,Melding sendt
Story unavailable,Historie utilgjengelig
Delete Music?,Slett musikk?
Are you sure you want to delete this music? This action cannot be undone.,Er du sikker på at du vil slette denne musikken? Denne handlingen kan ikke angres.
Session Expired – Logged in on Another Device,Økt utløpt – Logget inn på en annen enhet
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","Av sikkerhetshensyn tillater @app_name bare én aktiv økt per konto. Det ser ut som du har logget inn på en annen enhet med samme e-postadresse. For å beskytte kontoen din har vi automatisk logget deg ut fra denne enheten.\n\nHvis dette ikke var deg, må du logge inn på nytt. Du kan endre passordet ditt fra påloggingsskjermen om nødvendig."
Your Account Has Been Frozen,Kontoen din er fryst
Request to Unfreeze My Account,Forespørsel om å oppheve frysing av kontoen min
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.","Vi beklager, men det ser ut til at kontoen din er midlertidig fryst. Dette kan skyldes uvanlig aktivitet eller et problem knyttet til retningslinjer.\n\nFor din sikkerhet og for å sikre riktig tilgang er kontoen din satt på vent. Du vil ikke kunne bruke appen før problemet er løst.\n\nFor å oppheve frysing av kontoen din eller for å få mer informasjon, kan du kontakte supportteamet vårt på @support_mail. Vi er her for å hjelpe deg og vil gjøre vårt beste for å hjelpe deg med å komme i gang igjen så raskt som mulig.\n\nTakk for din tålmodighet og forståelse."
Text is rejected because it includes such things: ,Tekstmeldingen er avvist fordi den inneholder følgende:
Media is rejected because it contains such things: ,Mediameldingen er avvist fordi den inneholder følgende:
Restrict users requests to join.,Begrens brukerforespørsler om å bli med.
End This Stream!,Avslutt denne strømmen!
Do you really want to end this streaming?,Vil du virkelig avslutte denne strømmingen?
End Battle?,Avslutt kampen?
Are you sure you want to stop the battle? This action can’t be undone.,Er du sikker på at du vil stoppe kampen? Denne handlingen kan ikke angres.
No Join Requests Yet,Ingen forespørsler om å bli med ennå
View and manage audience requests to join the live stream.,Se og administrer publikumsforespørsler om å bli med i direktestrømmen.
No Viewers Yet,Ingen seere ennå
Audience members will appear here when they join your live stream.,Publikumsmedlemmer vil vises her når de blir med i direktestrømmen din.
No One Invited,Ingen invitert
You haven’t invited anyone yet. Invited users will be listed here.,Du har ikke invitert noen ennå. Inviterte brukere vil bli oppført her.
No Co-hosts Yet,Ingen medverter ennå
Co-hosts will appear here once they accept your invitation.,Medverter vil vises her når de godtar invitasjonen din.
You are sending coins to the above user.,Du sender mynter til brukeren ovenfor.
No Live Streams Yet,Ingen direktestrømmer ennå
Live streams will appear here when someone goes live.,Direktestrømmer vil vises her når noen går direkte.
No Reels Yet,Ingen filmsekvenser ennå
This user hasn’t posted any reels so far.,Denne brukeren har ikke lagt ut noen filmsekvenser så langt.
You Haven’t Shared Any Posts,Du har ikke delt noen innlegg
Start posting to share your moments with the community.,Begynn å legge ut for å dele øyeblikkene dine med fellesskapet.
No Posts Yet,Ingen innlegg ennå
This user hasn’t shared any posts so far.,Denne brukeren har ikke delt noen innlegg så langt.
Start a Conversation,Start en samtale
Your chats will show up here once you start messaging someone.,Chattene dine vises her når du begynner å sende meldinger til noen.
No Requests Right Now,Ingen forespørsler akkurat nå
New chat requests will appear here when someone messages you.,Nye chatforespørsler vises her når noen sender deg meldinger.
Your request to join the live stream is pending approval.,Forespørselen din om å bli med i direktestrømmen venter på godkjenning.
Joined the stream,Ble med i strømmen
Join,Bli med
wants you to be in this live video,vil at du skal være med i denne direktevideoen
requesting to join the stream.,ber om å bli med i strømmen.
The host has declined your request to join the live stream.,Verten har avslått forespørselen din om å bli med i direktestrømmen.
Your request to join the live stream has been sent to the host.,Forespørselen din om å bli med i direktestrømmen er sendt til verten.
Exit live stream?,Avslutte direktestrømmen?
"If you check this profile, you will exit the live stream.","Hvis du sjekker denne profilen, avslutter du direktestrømmen."
You can’t leave the live stream while a battle is in progress.,Du kan ikke forlate direktestrømmen mens en kamp pågår.
Get Back,Gå tilbake
Exit Live Stream?,Avslutte direktestrømmen?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ","Er du sikker på at du vil forlate direktestrømmen?\nHvis strømmen er avsluttet, kan du ikke bli med igjen."
Scan QR Code,Skann QR-kode
Scan the QR of the profile you want to search.,Skann QR-koden til profilen du vil søke i.
Upload From Gallery,Last opp fra galleri
Nothing to Watch Yet,Ingenting å se på ennå
Reels will appear here once new content is shared.,Reels vises her når nytt innhold deles.
Nothing to Show Yet,Ingenting å vise ennå
Explore content by entering keywords in the search bar above.,Utforsk innhold ved å skrive inn nøkkelord i søkefeltet ovenfor.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,en kunstner basert i Portland. Jeg finner inspirasjon i naturen og bylivet. La oss knytte kontakt og skape noe vakkert! 🌿🖌️
Video path not found.,Videobanen ikke funnet.
has liked your post,har likt innlegget ditt
liked your comment.,likte kommentaren din.
has commented on your post : @comment_description,har kommentert innlegget ditt: @comment_description
has commented on your post with a GIF.,har kommentert innlegget ditt med en GIF.
@username replied to your comment : @comment_description,@username svarte på kommentaren din: @comment_description
has mentioned you in post.,har nevnt deg i innlegget.
Mentioned you in comment,Nevnte deg i kommentaren
has started following you,har begynt å følge deg
has reply mentioned you in comment : @comment_description,har svart nevnt deg i kommentaren: @comment_description
has sent you gift,har sendt deg en gave
No Comments Yet,Ingen kommentarer ennå
This post doesn’t have any comments. Join in and share your thoughts.,Dette innlegget har ingen kommentarer. Bli med og del tankene dine.
Post sent successfully,Innlegget ble sendt
Search @brand_name,Søk @brand_name
Find Reels Around You,Finn filmruller rundt deg
Allow location access to explore reels shared by people near you.,Tillat posisjonstilgang for å utforske filmruller som deles av folk i nærheten av deg.
Location Services Are Still Disabled,Posisjonstjenester er fortsatt deaktivert
"To see nearby reels, please turn on location services in your device settings.","For å se filmruller i nærheten, vennligst slå på posisjonstjenester i enhetsinnstillingene dine."
See places near you.,Se steder i nærheten av deg.
"To include nearby places, turn on location services.","For å inkludere steder i nærheten, slå på posisjonstjenester."
Turn on Location Services,Slå på posisjonstjenester
Nothing To Show Here,Ingenting å vise her
This user has decided not to show their followings.,Denne brukeren har bestemt seg for ikke å vise sine følgere.
No Blocked Users,Ingen blokkerte brukere
Users you block will appear here. You haven’t blocked anyone yet.,Brukere du blokkerer vil vises her. Du har ikke blokkert noen ennå.
You need to reach the minimum coin amount before you can redeem.,Du må nå minimumsbeløpet for mynter før du kan innløse dem.
No Users Found,Ingen brukere funnet
Users will appear here when available.,Brukere vil vises her når de er tilgjengelige.
Freeze,Frys
UnFreeze,Opphev frysing
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,Denne profilen er midlertidig fryst på grunn av brudd på retningslinjene eller mistenkelig aktivitet. Tilgang er begrenset inntil gjennomgangen er fullført.
Profile Unavailable,Profil utilgjengelig
Admin,Admin
Days,Dager
Weeks,Uker
Months,Måneder
Years,År
Day,Dag
Week,Uke
Month,Måned
Year,År
Lifetime,Livstid
Annual,Årlig
6 Month,6 måneder
3 Month,3 måneder
2 Month,2 måneder
Monthly,Månedlig
Weekly,Ukentlig
@price / Month. Billed @unit_label,@price / Måned. Fakturert @unit_label
Give it a try,Prøv det
@count @get_period Free trial,@count @get_period Gratis prøveperiod
Annually,Årlig
Semi Annually,Halvårlig
Three Months,Tre måneder
Two Months,To måneder
The host has cancelled your invitation. You can no longer join the live stream.,Verten har kansellert invitasjonen din. Du kan ikke lenger bli med i direktesendingen.
joined as a co-host,ble med som medvert
Min. @count Followers needed to go Live,Min. @count Følgere trengs for å gå live
You can add only @limit links in the profile.,Du kan bare legge til @limit lenker i profilen.
Refresh,Oppdater
Lost,Mistet
Connection,Tilkobling
It looks like you are not\nconnected to the internet,Det ser ut til at du ikke er koblet til internett
Download failed.,Nedlastingen mislyktes.
From,Fra
Something went wrong.,Noe gikk galt.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Velkomstbonus kreditert lommeboken din!
You've earned your registration bonus! Enjoy your coins and start exploring now!,Du har tjent registreringsbonusen din! Kos deg med myntene dine og begynn å utforske nå!
You are,Du er
member,medlem
Oops!! Battle Ended Please wait for a while..,Ups!! Kampen er avsluttet Vennligst vent litt..
"Hey, @name is now live","Hei, @name er nå live"
Hurry up and join before it ends.,Skynd deg og bli med før den slutter.
Professional Dashboard,Profesjonelt dashbord
Track Your Performance,Spor ytelsen din
Creator Dashboard,Skaperdashbord
AI Insights,AI-innsikt
Content Calendar,Innholdskalender
Grow Your Business,Utvid virksomheten din
Subscription Tiers,Abonnementsnivåer
My Subscribers,Mine abonnenter
My Portfolio,Min portefølje
Manage Your Account,Administrer kontoen din
Creator Tier,Skapernivå
Account Type Settings,Kontotype-innstillinger
My Subscriptions,Mine abonnementer
People,Personer
Content & Feed,Innhold og feed
Digital Wellbeing,Digitalt velvære
AI & Discovery,AI og oppdagelse
AI Video Generator,AI-videogenerator
Moderator Panel,Moderatorpanel
Two-Factor Authentication,Tofaktorautentisering
Switch Account,Bytt konto
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","Bytte til en personlig konto vil fjerne tilgang til alle profesjonelle verktøy, inkludert analyse, inntektsgenerering, inntektsdashbord, og teamadministrasjon."
Switch to Personal,Bytt til personlig
Creator,Skaper
Account,Konto
Part of a Series,Del av en serie
Select Previous Part,Velg forrige del
Previous Part,Forrige del
Next Part,Neste del
