key,value
The subscription renews automatically as per the plan unless cancelled within 24 hours before the end of the current period. You can manage and cancel subscriptions anytime from the app store/play store settings.,Langganan akan diperpanjang secara otomatis sesuai paket kecuali dibatalkan dalam 24 jam sebelum periode berakhir. Anda bisa mengelola dan membatalkan langganan kapan saja melalui pengaturan toko aplikasi/Play Store.
User ID,ID Pengguna
Profile Image,Foto Profil
Username,Nama Pengguna
Bio,Bio
Phone Number,Nomor Telepon
Links,Tautan
Link,Tautan
Title,Judul
Add Link,Tambahkan Tautan
Edit Link,Edit Tautan
Edit,Edit
Delete,Hapus
Save,Simpan
Share,Bagikan
Share Post,Bagikan Postingan
Pin,Sematkan
Unpin,Lepas Sematan
Block,Blokir
UnBlock,Buka Blokir
Scan This code\nto check the profile,Pindai kode ini untuk melihat profil
Balance,Saldo
Collected*,Terkumpul*
Gifted*,Diberikan*
GIF,GIF
Purchased*,Dibeli*
Coin Shop,Toko Koin
Recharge your wallet. And\nsend gifts to your favorite creators.,Isi ulang dompetmu dan kirim hadiah untuk kreator favoritmu.
Purchase,Beli
Withdrawals,Penarikan
Request Withdrawal,Ajukan Penarikan
Pending,Tertunda
Completed,Selesai
Rejected,Ditolak
Coin Balance,Saldo Koin
Estimated Value,Perkiraan Nilai
Estimated Amount,Perkiraan Jumlah
Amount,Jumlah
Enter Coin Amount..,Masukkan Jumlah Koin..
Converted Amount,Jumlah yang Dikonversi
Create Feed,Buat Feed
Write something here..,Tulis sesuatu di sini..
Mention,Sebut
Hashtags,Hashtag
Location,Lokasi
Allow Comments,Izinkan Komentar
Select Music,Pilih Musik
Explore,Jelajahi
Categories,Kategori
Saved,Tersimpan
Preview,Pratinjau
Change Cover,Ubah Sampul
Upload Now,Unggah Sekarang
Discard,Batal
Done,Selesai
Font Family,Jenis Huruf
Type Something...,Ketik sesuatu...
Users,Pengguna
User,Pengguna
Places,Tempat
Enter Live Stream Title...,Masukkan Judul Siaran Langsung...
Start Live,Mulai Siaran
Stop,Berhenti
Start Battle,Mulai Battle
Battle\nStarting\nin,Battle\nDimulai\nDalam
Cancel,Batal
Yes,Ya
Members,Anggota
Audience,Penonton
Invited,Diundang
Invite,Undang
Co-hosts,Co-Host
Refuse,Tolak
Accept,Terima
Host,Host
Guest,Tamu
Victory,Kemenangan
Defeat,Kekalahan
Streamed For,Disiarkan Selama
Followers Gained,Pengikut Bertambah
Total Coins Collected,Total Koin Terkumpul
Go Home,Kembali ke Beranda
Stream Ended!,Siaran Berakhir!
Your Stream Ended!,Siaran Anda Berakhir!
Below is the summary of your stream!,Berikut ringkasan siaran Anda!
From Battle,Dari Battle
Live,Live
Check Profile,Lihat Profil
You are sending coins to @color Participant,Anda mengirim koin ke @color Peserta
You will be sent back to main view in...,Anda akan kembali ke tampilan utama dalam...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,Siaran langsung dihentikan karena membutuhkan minimal @viewers_count penonton untuk melanjutkan.
Please enter an email. The email field is empty.,Silakan masukkan email. Kolom email kosong.
Please enter a password. The password field is empty.,Silakan masukkan kata sandi. Kolom kata sandi kosong.
No user found with that email. Please register with this email.,Tidak ada pengguna dengan email tersebut. Silakan daftar dengan email ini.
Incorrect password provided for this user.,Kata sandi salah untuk pengguna ini.
The password provided is too weak.,Kata sandi yang diberikan terlalu lemah.
The account already exists for that email.,Akun sudah ada dengan email tersebut.
Please enter a full name. The full name field is empty.,Silakan masukkan nama lengkap. Kolom nama lengkap kosong.
Please enter a username. The username field is empty.,Silakan masukkan nama pengguna. Kolom nama pengguna kosong.
Please enter a URL link. The link field is empty.,Silakan masukkan tautan URL. Kolom tautan kosong.
Please enter a valid URL link,Silakan masukkan tautan URL yang valid.
Please enter a title. The title field is empty.,Silakan masukkan judul. Kolom judul kosong.
Please enter a valid username.,Silakan masukkan nama pengguna yang valid.
Please confirm your password. The confirm password field is empty.,Silakan konfirmasi kata sandi Anda. Kolom konfirmasi kata sandi kosong.
The password and confirm password do not match.,Kata sandi dan konfirmasi tidak cocok.
The email is incorrect. Please enter a valid email.,Email salah. Silakan masukkan email yang valid.
A verification link has been sent to your email. Please verify the link to log in.,Tautan verifikasi telah dikirim ke email Anda. Silakan verifikasi tautan untuk masuk.
"Please verify your email first, then proceed to log in.",Silakan verifikasi email Anda terlebih dahulu sebelum masuk.
Delete Link?,Hapus Tautan?
Phone Code,Kode Telepon
No Data Found,Tidak Ada Data Ditemukan
Are you sure you want to delete this link? This action cannot be undone.,Apakah Anda yakin ingin menghapus tautan ini? Tindakan ini tidak dapat dibatalkan.
Uploading post...,Mengunggah postingan...
Uploading story...,Mengunggah story...
Post uploaded successfully.,Postingan berhasil diunggah.
Story uploaded successfully.,Story berhasil diunggah.
Uploading failed.,Gagal mengunggah.
Add Filter,Tambahkan Filter
Apply to all,Terapkan ke Semua
An error occurred while applying the video filter.,Terjadi error saat menerapkan filter video.
An error occurred while compress the video.,Terjadi error saat mengompres video.
Delete Post?,Hapus Postingan?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Apakah Anda yakin ingin menghapus postingan ini? Setelah dihapus, tidak dapat dipulihkan."
Your post has been pinned.,Postingan Anda telah disematkan.
Your post has been unpinned.,Postingan Anda telah dilepas sematan.
You can pin maximum @pin_count post.,Anda dapat menyematkan maksimal @pin_count postingan.
You can pin maximum @pin_comment_count comment.,Anda dapat menyematkan maksimal @pin_comment_count komentar.
A reset password link has been sent to your email. Please use it to reset your password.,Tautan reset kata sandi telah dikirim ke email Anda. Gunakan untuk mereset kata sandi.
Copyright Infringement,Pelanggaran Hak Cipta
Hate Speech,Ujaran Kebencian
Harassment or Bullying,Pelecehan atau Perundungan
Violence or Threats,Kekerasan atau Ancaman
Nudity or Sexual Content,Konten Telanjang atau Seksual
Terrorism or Extremist Content,Terorisme atau Ekstremisme
Scams or Fraud,Penipuan atau Kecurangan
Spam,Spam
Impersonation,Penyamaran
Misinformation,Informasi Salah
Reason,Alasan
Please provide a detailed reason for the report.,Silakan berikan alasan detail untuk laporan ini.
Report submitted successfully.,Laporan berhasil dikirim.
Block @username!,Blokir @username!
UnBlock @username!,Buka Blokir @username!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Apakah Anda yakin ingin memblokir pengguna ini? Anda tidak akan melihat pengikut/mengikuti mereka, dan mereka tidak bisa melihat profil, foto, atau postingan Anda. Setelah diblokir, pengguna ini tidak bisa mengobrol dengan Anda, dan Anda tidak bisa mengobrol dengan mereka."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Setelah dibuka blokirnya, pengguna ini bisa mengobrol lagi dengan Anda, dan Anda bisa melihat profil/foto/postingan mereka."
You are bock this user,Anda memblokir pengguna ini
This user is freeze,Pengguna ini dibekukan
Delete Comment!,Hapus Komentar!
Delete Reply Comment!,Hapus Balasan Komentar!
Are you sure you want to delete this comment? This action cannot be undone.,Apakah Anda yakin ingin menghapus komentar ini? Tindakan ini tidak dapat dibatalkan.
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!",Apakah Anda benar-benar ingin menghapus akun? Semua data akan dihapus dan tidak dapat dipulihkan!
Do you really want to proceed?,Apakah Anda yakin ingin melanjutkan?
Are you sure you want to log out? You will need to log in again to access your account.,Apakah Anda yakin ingin keluar? Anda perlu masuk lagi untuk mengakses akun.
Logout!,Keluar!
Delete Your Account!,Hapus Akun Anda!
There is nothing we can show you for now.,Tidak ada yang bisa kami tunjukkan saat ini.
music,musik
Discard edits?,Batalkan pengeditan?
Start Again?,Mulai lagi?
Start Again,Mulai Lagi
"If you go back now, you'll lose all the edits you've made.","Jika Anda kembali sekarang, semua perubahan akan hilang."
"If you go back now, you'll lose this draft","Jika Anda kembali sekarang, draf ini akan hilang."
Discover,Jelajahi
No location found.,Lokasi tidak ditemukan.
Start searching for a location.,Mulai cari lokasi.
Only,Hanya
Current Value,Nilai Saat Ini
Account Details,Detail Akun
Select Gateway,Pilih Gateway
You cannot enter more than @coin coins!,Anda tidak bisa memasukkan lebih dari @coin koin!
Redeem gateway not found.,Gateway penukaran tidak ditemukan.
Record up to @second seconds.,Rekam hingga @second detik.
Allow Camera & Microphone Access,Izinkan Akses Kamera & Mikrofon
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","Untuk mengambil foto, merekam video, dan menggunakan fitur suara, @app_name membutuhkan akses ke kamera dan mikrofon Anda."
Open setting,Buka pengaturan
Delete Story?,Hapus Story?
Are you sure you want to delete this story?,Apakah Anda yakin ingin menghapus story ini?
Are you sure you want to delete this text?,Apakah Anda yakin ingin menghapus teks ini?
Music download failed.,Gagal mengunduh musik.
View More,Lihat Lebih
Download completed successfully!,Unduhan berhasil!
Download has started...,Unduhan dimulai...
User not found.,Pengguna tidak ditemukan.
Delete Message?,Hapus Pesan?
Delete @user_name?,Hapus @user_name?
"After deleting this user, you will not be able to restore the chat.","Setelah menghapus pengguna ini, Anda tidak bisa memulihkan obrolan."
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,Pesan ini hanya dihapus untuk Anda. Orang lain masih bisa melihatnya. Lanjutkan?
Send Media,Kirim Media
Select Media,Pilih Media
Video,Video
Image,Gambar
You received a gift!,Anda menerima hadiah!
You have sent a gift!,Anda mengirim hadiah!
Enable Microphone Access,Aktifkan Akses Mikrofon
Enable Camera and Microphone Access,Aktifkan Akses Kamera & Mikrofon
Enable photos and videos access,Aktifkan akses foto & video
"To Share photos and videos, @app_name needs access to Storage on your device.","Untuk berbagi foto dan video, @app_name perlu akses ke penyimpanan perangkat Anda."
You'll need to enable camera and microphone access in your settings to send a photo or video message.,Anda perlu mengaktifkan kamera & mikrofon di pengaturan untuk mengirim pesan foto/video.
You'll need to enable microphone access in your settings to send a voice message.,Anda perlu mengaktifkan mikrofon di pengaturan untuk mengirim pesan suara.
Settings,Pengaturan
Delete for you,Hapus untuk Anda
Unsend,Batalkan Pengiriman
You can share with up to @share_chat_limit chats.,Anda bisa berbagi dengan maksimal @share_chat_limit obrolan.
@chat_user_name wants to chat with you. Approve it if you want to chat.,@chat_user_name ingin mengobrol dengan Anda. Setujui jika Anda mau.
You cannot send messages to this account unless you unblock them.,Anda tidak bisa mengirim pesan ke akun ini kecuali Anda membuka blokirnya.
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,Anda memblokir @block_user_name \nAnda tidak bisa mengirim pesan ke akun ini kecuali Anda membuka blokirnya.
You are blocked by this user.,Anda diblokir oleh pengguna ini.
Copied to clipboard.,Disalin ke clipboard.
Message sent,Pesan terkirim
Story unavailable,Story tidak tersedia
Delete Music?,Hapus Musik?
Are you sure you want to delete this music? This action cannot be undone.,Apakah Anda yakin ingin menghapus musik ini? Tindakan ini tidak dapat dibatalkan.
Session Expired – Logged in on Another Device,Sesi Berakhir - Masuk di Perangkat Lain
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","Untuk alasan keamanan, @app_name hanya mengizinkan satu sesi aktif per akun. Sepertinya Anda masuk di perangkat lain dengan email yang sama. Untuk melindungi akun Anda, kami telah mengeluarkan Anda dari perangkat ini."
Your Account Has Been Frozen,Akun Anda Dibekukan
Request to Unfreeze My Account,Ajukan Pembukaan Akun
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.","Maaf, sepertinya akun Anda dibekukan sementara. Ini mungkin karena aktivitas tidak biasa atau masalah kebijakan."
Text is rejected because it includes such things: ,Teks ditolak karena berisi:
Media is rejected because it contains such things: ,Media ditolak karena berisi:
Restrict users requests to join.,Batasi permintaan gabung pengguna.
End This Stream!,Akhiri Siaran Ini!
Do you really want to end this streaming?,Apakah Anda yakin ingin mengakhiri siaran ini?
End Battle?,Akhiri Battle?
Are you sure you want to stop the battle? This action can’t be undone.,Apakah Anda yakin ingin menghentikan battle? Tindakan ini tidak dapat dibatalkan.
No Join Requests Yet,Belum Ada Permintaan Gabung
View and manage audience requests to join the live stream.,Lihat dan kelola permintaan penonton untuk bergabung dengan siaran langsung.
No Viewers Yet,Belum Ada Penonton
Audience members will appear here when they join your live stream.,Penonton akan muncul di sini saat mereka bergabung.
No One Invited,Belum Ada yang Diundang
You haven’t invited anyone yet. Invited users will be listed here.,Pengguna yang diundang akan muncul di sini.
No Co-hosts Yet,Belum Ada Co-Host
Co-hosts will appear here once they accept your invitation.,Co-Host akan muncul di sini setelah menerima undangan Anda.
You are sending coins to the above user.,Anda mengirim koin ke pengguna di atas.
No Live Streams Yet,Belum Ada Siaran Langsung
Live streams will appear here when someone goes live.,Siaran langsung akan muncul di sini saat seseorang mulai siaran.
No Reels Yet,Belum Ada Reels
This user hasn’t posted any reels so far.,Pengguna ini belum memposting Reels.
You Haven’t Shared Any Posts,Anda Belum Membagikan Postingan
Start posting to share your moments with the community.,Mulailah memposting untuk berbagi momen dengan komunitas.
No Posts Yet,Belum Ada Postingan
This user hasn’t shared any posts so far.,Pengguna ini belum membagikan postingan.
Start a Conversation,Mulai Percakapan
Your chats will show up here once you start messaging someone.,Obrolan Anda akan muncul di sini saat Anda mulai mengirim pesan.
No Requests Right Now,Tidak Ada Permintaan Saat Ini
New chat requests will appear here when someone messages you.,Permintaan obrolan baru akan muncul di sini saat seseorang mengirimi Anda pesan.
Your request to join the live stream is pending approval.,Permintaan Anda untuk bergabung dengan siaran sedang menunggu persetujuan.
Joined the stream,Bergabung dengan siaran
Join,Gabung
wants you to be in this live video,ingin Anda bergabung dalam siaran ini
requesting to join the stream.,meminta untuk bergabung dengan siaran.
The host has declined your request to join the live stream.,Host menolak permintaan gabung Anda.
Your request to join the live stream has been sent to the host.,Permintaan gabung Anda telah dikirim ke host.
Exit live stream?,Keluar dari siaran?
"If you check this profile, you will exit the live stream.","Jika Anda melihat profil ini, Anda akan keluar dari siaran."
You can’t leave the live stream while a battle is in progress.,Anda tidak bisa keluar saat battle berlangsung.
Get Back,Kembali
Exit Live Stream?,Keluar dari Siaran?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ","Apakah Anda yakin ingin keluar dari siaran?\nJika siaran berakhir, Anda tidak bisa bergabung lagi."
Scan QR Code,Pindai Kode QR
Scan the QR of the profile you want to search.,Pindai QR profil yang ingin Anda cari.
Upload From Gallery,Unggah dari Galeri
Nothing to Watch Yet,Belum Ada yang Ditonton
Reels will appear here once new content is shared.,Reels akan muncul di sini saat konten baru dibagikan.
Nothing to Show Yet,Belum Ada yang Dapat Ditampilkan
Explore content by entering keywords in the search bar above.,Jelajahi konten dengan memasukkan kata kunci di bilah pencarian.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,seniman berbasis di Portland. Saya terinspirasi oleh alam dan kehidupan urban. Mari terhubung dan ciptakan sesuatu yang indah! 🌿🖌️
Video path not found.,Path video tidak ditemukan.
has liked your post,menyukai postingan Anda
liked your comment.,menyukai komentar Anda.
has commented on your post : @comment_description,mengomentari postingan Anda: @comment_description
has commented on your post with a GIF.,mengomentari postingan Anda dengan GIF.
@username replied to your comment : @comment_description,@username membalas komentar Anda: @comment_description
has mentioned you in post.,menyebut Anda di postingan.
Mentioned you in comment,Menyebut Anda di komentar
has started following you,mulai mengikuti Anda
has reply mentioned you in comment : @comment_description,menyebut Anda di balasan komentar: @comment_description
has sent you gift,mengirim Anda hadiah.
No Comments Yet,Belum Ada Komentar
This post doesn’t have any comments. Join in and share your thoughts.,Postingan ini belum memiliki komentar. Jadilah yang pertama berbagi pemikiran.
Post sent successfully,Postingan Berhasil Dikirim
Search @brand_name,Cari @brand_name
Find Reels Around You,Temukan Reels di Sekitar Anda
Allow location access to explore reels shared by people near you.,Izinkan akses lokasi untuk menjelajahi Reels yang dibagikan orang di dekat Anda.
Location Services Are Still Disabled,Layanan Lokasi Masih Dinonaktifkan
"To see nearby reels, please turn on location services in your device settings.","Untuk melihat Reels terdekat, aktifkan layanan lokasi di pengaturan perangkat."
See places near you.,Lihat tempat di sekitar Anda.
"To include nearby places, turn on location services.",Aktifkan layanan lokasi untuk menyertakan tempat terdekat.
Turn on Location Services,Aktifkan Layanan Lokasi
Nothing To Show Here,Tidak Ada yang Dapat Ditampilkan
This user has decided not to show their followings.,Pengguna ini memilih untuk tidak menampilkan yang diikuti.
No Blocked Users,Tidak Ada Pengguna yang Diblokir
Users you block will appear here. You haven’t blocked anyone yet.,Pengguna yang Anda blokir akan muncul di sini. Anda belum memblokir siapa pun.
You need to reach the minimum coin amount before you can redeem.,Anda perlu mencapai jumlah koin minimum sebelum bisa menukarkan.
No Users Found,Tidak Ada Pengguna Ditemukan
Users will appear here when available.,Pengguna akan muncul di sini saat tersedia.
Freeze,Bekukan
UnFreeze,Buka Bekuan
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,Profil ini dibekukan sementara karena pelanggaran kebijakan atau aktivitas mencurigakan. Akses dibatasi hingga tinjauan selesai.
Profile Unavailable,Profil Tidak Tersedia
Admin,Admin
Days,Hari
Weeks,Minggu
Months,Bulan
Years,Tahun
Day,Hari
Week,Minggu
Month,Bulan
Year,Tahun
Lifetime,Seumur Hidup
Annual,Tahunan
6 Month,6 Bulan
3 Month,3 Bulan
2 Month,2 Bulan
Monthly,Bulanan
Weekly,Mingguan
@price / Month. Billed @unit_label,@price / Bulan. Ditagih @unit_label
Give it a try,Coba Sekarang
@count @get_period Free trial,@count @get_period Percobaan Gratis
Annually,Tahunan
Semi Annually,Setengah Tahunan
Three Months,Triwulan
Two Months,Dua Bulan
The host has cancelled your invitation. You can no longer join the live stream.,Host membatalkan undangan Anda. Anda tidak bisa lagi bergabung.
joined as a co-host,bergabung sebagai co-host
Min. @count Followers needed to go Live,Minimal @count Pengikut diperlukan untuk siaran langsung
You can add only @limit links in the profile.,Anda hanya bisa menambahkan @limit tautan di profil.
Refresh,Muat Ulang
Lost,Hilang
Connection,Koneksi
It looks like you are not\nconnected to the internet,Sepertinya Anda tidak terhubung ke internet
Download failed.,Gagal mengunduh.
From,Dari
Something went wrong.,Ada yang salah.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Bonus Selamat Datang Dikreditkan ke Dompet Anda!
You've earned your registration bonus! Enjoy your coins and start exploring now!,Anda mendapatkan bonus pendaftaran! Nikmati koin Anda dan mulai jelajahi sekarang!
You are,Anda adalah
member,anggota
Oops!! Battle Ended Please wait for a while..,Ups!! Battle Berakhir Harap tunggu sebentar..
"Hey, @name is now live","Hei, @name sedang siaran sekarang"
Hurry up and join before it ends.,Segera bergabung sebelum berakhir.
Professional Dashboard,Dasbor Profesional
Track Your Performance,Lacak Kinerja Anda
Creator Dashboard,Dasbor Kreator
AI Insights,Wawasan AI
Content Calendar,Kalender Konten
Grow Your Business,Kembangkan Bisnis Anda
Subscription Tiers,Tingkat Langganan
My Subscribers,Pelanggan Saya
My Portfolio,Portofolio Saya
Manage Your Account,Kelola Akun Anda
Creator Tier,Tingkat Kreator
Account Type Settings,Pengaturan Tipe Akun
My Subscriptions,Langganan Saya
People,Orang
Content & Feed,Konten & Feed
Digital Wellbeing,Kesejahteraan Digital
AI & Discovery,AI & Penemuan
AI Video Generator,Generator Video AI
Moderator Panel,Panel Moderator
Two-Factor Authentication,Autentikasi Dua Faktor
Switch Account,Ganti Akun
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","Beralih ke akun pribadi akan menghapus akses ke semua alat profesional termasuk analitik, monetisasi, dasbor pendapatan, dan manajemen tim."
Switch to Personal,Beralih ke Pribadi
Creator,Kreator
Account,Akun
Part of a Series,Bagian dari seri
Select Previous Part,Pilih bagian sebelumnya
Previous Part,Bagian sebelumnya
Next Part,Bagian berikutnya
