key,value
Purchase,Køb
Withdrawals,Udbetalinger
Request Withdrawal,Anmod om udbetaling
Pending,Afventer
Completed,Fuldført
Rejected,Afvist
Coin Balance,Møntsaldo
Estimated Value,Anslået værdi
Estimated Amount,Anslået beløb
Amount,Beløb
Enter Coin Amount..,Indtast møntbeløb..
Converted Amount,Konverteret beløb
Create Feed,Opret feed
Write something here..,Skriv noget her..
Mention,Nævn
Hashtags,Hashtags
Location,Sted
Allow Comments,Tillad kommentarer
Select Music,Vælg musik
Explore,Udforsk
Categories,Kategorier
Saved,Gemt
Preview,Forhåndsvisning
Change Cover,Skift cover
Upload Now,Upload nu
Discard,Annuller
Done,Færdig
Font Family,Skrifttype
Type Something...,Skriv noget...
Users,Brugere
User,Bruger
Places,Steder
Enter Live Stream Title...,Indtast livestream-titel...
Start Live,Start live
Stop,Stop
Start Battle,Start kamp
Battle\nStarting\nin,Kamp\nstarter\nom
Cancel,Annuller
Yes,Ja
Members,Medlemmer
Audience,Publikum
Invited,Inviterede
Invite,Inviter
Co-hosts,Medværter
Refuse,Afvis
Accept,Accepter
Host,Vært
Guest,Gæst
Victory,Sejr
Defeat,Nederlag
Streamed For,Streamet i
Followers Gained,Følgere fået
Total Coins Collected,Samlede mønter
Go Home,Gå hjem
Stream Ended!,Stream afsluttet!
Your Stream Ended!,Din stream er afsluttet!
Below is the summary of your stream!,Her er et resumé af din stream!
From Battle,Fra kamp
Live,Live
Check Profile,Se profil
You are sending coins to @color Participant,Du sender mønter til @color Deltager
You will be sent back to main view in...,Du vil blive sendt tilbage til hovedvisningen om...
The live stream has ended because min. @viewers_count viewers are required to keep it going.,Livestreamen er afsluttet fordi der kræves minimum @viewers_count seere for at fortsætte.
Please enter an email. The email field is empty.,Indtast venligst en email. Emailfeltet er tomt.
Please enter a password. The password field is empty.,Indtast venligst en adgangskode. Adgangskodefeltet er tomt.
No user found with that email. Please register with this email.,Ingen bruger fundet med den email. Opret venligst en konto med denne email.
Incorrect password provided for this user.,Forkert adgangskode for denne bruger.
The password provided is too weak.,Den angivne adgangskode er for svag.
The account already exists for that email.,Der findes allerede en konto med denne email.
Please enter a full name. The full name field is empty.,Indtast venligst et fuldt navn. Fulde navn felt er tomt.
Please enter a username. The username field is empty.,Indtast venligst et brugernavn. Brugernavn felt er tomt.
Please enter a URL link. The link field is empty.,Indtast venligst et URL-link. Linkfeltet er tomt.
Please enter a valid URL link,Indtast venligst et gyldigt URL-link.
Please enter a title. The title field is empty.,Indtast venligst en titel. Titelfeltet er tomt.
Please enter a valid username.,Indtast venligst et gyldigt brugernavn.
Please confirm your password. The confirm password field is empty.,Bekræft venligst din adgangskode. Bekræft adgangskode felt er tomt.
The password and confirm password do not match.,Adgangskode og bekræftelse stemmer ikke overens.
The email is incorrect. Please enter a valid email.,Emailen er forkert. Indtast venligst en gyldig email.
A verification link has been sent to your email. Please verify the link to log in.,Et bekræftelseslink er sendt til din email. Bekræft linket for at logge ind.
"Please verify your email first, then proceed to log in.","Bekræft venligst din email først, og fortsæt derefter med at logge ind."
Delete Link?,Slet link?
Phone Code,Telefonkode
No Data Found,Ingen data fundet
Are you sure you want to delete this link? This action cannot be undone.,"Er du sikker på, at du vil slette dette link? Denne handling kan ikke fortrydes."
Uploading post...,Uploader opslag...
Uploading story...,Uploader historie...
Post uploaded successfully.,Opslag uploadet succesfuldt.
Story uploaded successfully.,Historie uploadet succesfuldt.
Uploading failed.,Upload mislykkedes.
Add Filter,Tilføj filter
Apply to all,Anvend på alle
An error occurred while applying the video filter.,Der opstod en fejl under anvendelse af videofilter.
An error occurred while compress the video.,Der opstod en fejl under komprimering af video.
Delete Post?,Slet opslag?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.","Er du sikker på, at du vil slette dette opslag? Når det er slettet, kan det ikke gendannes."
Your post has been pinned.,Dit opslag er blevet fastgjort.
Your post has been unpinned.,Dit opslag er blevet frigivet.
You can pin maximum @pin_count post.,Du kan fastgøre maksimalt @pin_count opslag.
You can pin maximum @pin_comment_count comment.,Du kan fastgøre maksimalt @pin_comment_count kommentarer.
A reset password link has been sent to your email. Please use it to reset your password.,Et link til nulstilling af adgangskode er sendt til din email. Brug det til at nulstille din adgangskode.
Copyright Infringement,Ophavsretskrænkelse
Hate Speech,Hadesprog
Harassment or Bullying,Chikane eller mobning
Violence or Threats,Vold eller trusler
Nudity or Sexual Content,Nøgenhed eller seksuelt indhold
Terrorism or Extremist Content,Terrorisme eller ekstremistisk indhold
Scams or Fraud,Svindel eller bedrageri
Spam,Spam
Impersonation,Identitetstyveri
Misinformation,Fejlinformation
Reason,Årsag
Please provide a detailed reason for the report.,Angiv venligst en detaljeret årsag til rapporten.
Report submitted successfully.,Rapport sendt succesfuldt.
Block @username!,Bloker @username!
UnBlock @username!,Fjern blokering af @username!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","Er du sikker på, at du vil blokere denne bruger? Du vil ikke længere kunne se deres følgere eller følgesider, og de vil ikke kunne se din profil, billeder eller opslag. Når blokeret, vil denne bruger ikke længere kunne chatte med dig, og du vil ikke kunne chatte med dem."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","Når blokeringen er fjernet, vil denne bruger igen kunne chatte med dig, og du vil kunne se deres profil/billeder/opslag."
You are bock this user,Du har blokeret denne bruger
This user is freeze,Denne bruger er frosset
Delete Comment!,Slet kommentar!
Delete Reply Comment!,Slet svar-kommentar!
Are you sure you want to delete this comment? This action cannot be undone.,"Er du sikker på, at du vil slette denne kommentar? Denne handling kan ikke fortrydes."
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!",Vil du virkelig slette din konto? Alle dine data vil blive slettet og kan ikke gendannes!
Do you really want to proceed?,Vil du virkelig fortsætte?
Are you sure you want to log out? You will need to log in again to access your account.,"Er du sikker på, at du vil logge ud? Du skal logge ind igen for at få adgang til din konto."
Logout!,Log ud!
Delete Your Account!,Slet din konto!
There is nothing we can show you for now.,Der er intet at vise i øjeblikket.
music,musik
Discard edits?,Annuller redigeringer?
Start Again?,Start forfra?
Start Again,Start forfra
"If you go back now, you'll lose all the edits you've made.","Hvis du går tilbage nu, mister du alle dine redigeringer."
"If you go back now, you'll lose this draft","Hvis du går tilbage nu, mister du denne kladde."
Discover,Udforsk
No location found.,Ingen placering fundet.
Start searching for a location.,Begynd at søge efter en placering.
Only,Kun
Current Value,Nuværende værdi
Account Details,Kontodetaljer
Select Gateway,Vælg gateway
You cannot enter more than @coin coins!,Du kan ikke indtaste mere end @coin mønter!
Redeem gateway not found.,Indløsningsgateway ikke fundet.
Record up to @second seconds.,Optag op til @second sekunder.
Allow Camera & Microphone Access,Tillad kamera- og mikrofonadgang
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","For at tage billeder, optage videoer og bruge stemmefunktioner har @app_name brug for adgang til dit kamera og mikrofon. Tillad venligst adgang i dine enhedsindstillinger."
Open setting,Åbn indstillinger
Delete Story?,Slet historie?
Are you sure you want to delete this story?,"Er du sikker på, at du vil slette denne historie?"
Are you sure you want to delete this text?,"Er du sikker på, at du vil slette denne tekst?"
Music download failed.,Musikdownload mislykkedes.
View More,Se mere
Download completed successfully!,Download fuldført succesfuldt!
Download has started...,Download er startet...
User not found.,Bruger ikke fundet.
Delete Message?,Slet besked?
Delete @user_name?,Slet @user_name?
"After deleting this user, you will not be able to restore the chat.",Efter sletning af denne bruger vil du ikke kunne gendanne chatten.
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,Denne besked vil kun blive slettet for dig. Den anden person vil stadig kunne se den. Vil du fortsætte?
Send Media,Send medie
Select Media,Vælg medie
Video,Video
Image,Billede
You received a gift!,Du har modtaget en gave!
You have sent a gift!,Du har sendt en gave!
Enable Microphone Access,Aktivér mikrofonadgang
Enable Camera and Microphone Access,Aktivér kamera- og mikrofonadgang
Enable photos and videos access,Tillad adgang til billeder og videoer
"To Share photos and videos, @app_name needs access to Storage on your device.",For at dele billeder og videoer har @app_name brug for adgang til din enheds lager.
You'll need to enable camera and microphone access in your settings to send a photo or video message.,Du skal aktivere kamera og mikrofon i dine indstillinger for at sende en billede- eller videobesked.
You'll need to enable microphone access in your settings to send a voice message.,Du skal aktivere mikrofon i dine indstillinger for at sende en stemmebesked.
Settings,Indstillinger
Delete for you,Slet kun for dig
Unsend,Annuller sending
You can share with up to @share_chat_limit chats.,Du kan dele med op til @share_chat_limit chats.
@chat_user_name wants to chat with you. Approve it if you want to chat.,"@chat_user_name vil gerne chatte med dig. Godkend det, hvis du ønsker det."
You cannot send messages to this account unless you unblock them.,"Du kan ikke sende beskeder til denne konto, medmindre du fjerner blokeringen."
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,"Du har blokeret @block_user_name \nDu kan ikke sende beskeder til denne konto, medmindre du fjerner blokeringen."
You are blocked by this user.,Du er blevet blokeret af denne bruger.
Copied to clipboard.,Kopieret til udklipsholder.
Message sent,Besked sendt
Story unavailable,Historie ikke tilgængelig
Delete Music?,Slet musik?
Are you sure you want to delete this music? This action cannot be undone.,"Er du sikker på, at du vil slette denne musik? Denne handling kan ikke fortrydes."
Session Expired – Logged in on Another Device,Session udløbet - Logget ind på en anden enhed
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.","Af sikkerhedsårsager tillader @app_name kun én aktiv session pr. konto. Det ser ud til, at du er logget ind på en anden enhed med den samme email. For at beskytte din konto har vi automatisk logget dig ud fra denne enhed.\n\nHvis dette ikke var dig, skal du logge ind igen. Du kan ændre din adgangskode fra login-skærmen, hvis nødvendigt."
Your Account Has Been Frozen,Din konto er blevet frosset
Request to Unfreeze My Account,Anmod om optøning af min konto
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.","Vi beklager, men det ser ud til, at din konto er blevet midlertidigt frosset. Dette kan skyldes usædvanlig aktivitet eller en politik-relateret bekymring.\n\nAf hensyn til din sikkerhed og for at sikre korrekt adgang er din konto blevet sat på pause. Du vil ikke kunne bruge appen, før problemet er løst.\n\nFor at få din konto optøet eller få mere information, skal du kontakte vores supportteam på @support_mail. Vi er her for at hjælpe dig og vil gøre vores bedste for at få dig i gang igen så hurtigt som muligt.\n\nTak for din tålmodighed og forståelse."
Text is rejected because it includes such things: ,Tekst afvist fordi den indeholder:
Media is rejected because it contains such things: ,Medie afvist fordi det indeholder:
Restrict users requests to join.,Begræns brugernes anmodninger om at deltage.
End This Stream!,Afslut denne stream!
Do you really want to end this streaming?,Vil du virkelig afslutte denne streaming?
End Battle?,Afslut kamp?
Are you sure you want to stop the battle? This action can’t be undone.,"Er du sikker på, at du vil stoppe kampen? Denne handling kan ikke fortrydes."
No Join Requests Yet,Ingen deltagelsesanmodninger endnu
View and manage audience requests to join the live stream.,Se og håndter publikums anmodninger om at deltage i livestreamen.
No Viewers Yet,Ingen seere endnu
Audience members will appear here when they join your live stream.,"Publikumsmedlemmer vil vises her, når de deltager i din livestream."
No One Invited,Ingen inviterede endnu
You haven’t invited anyone yet. Invited users will be listed here.,Du har ikke inviteret nogen endnu. Inviterede brugere vil blive vist her.
No Co-hosts Yet,Ingen medværter endnu
Co-hosts will appear here once they accept your invitation.,"Medværter vil vises her, når de accepterer din invitation."
You are sending coins to the above user.,Du sender mønter til ovenstående bruger.
No Live Streams Yet,Ingen livestreams endnu
Live streams will appear here when someone goes live.,"Livestreams vil vises her, når nogen går live."
No Reels Yet,Ingen Reels endnu
This user hasn’t posted any reels so far.,Denne bruger har ikke delt nogen Reels endnu.
You Haven’t Shared Any Posts,Du har ikke delt nogen opslag endnu
Start posting to share your moments with the community.,Begynd at poste for at dele dine øjeblikke med fællesskabet.
No Posts Yet,Ingen opslag endnu
This user hasn’t shared any posts so far.,Denne bruger har ikke delt nogen opslag endnu.
Start a Conversation,Start en samtale
Your chats will show up here once you start messaging someone.,"Dine chats vil vises her, når du begynder at sende beskeder til nogen."
No Requests Right Now,Ingen anmodninger i øjeblikket
New chat requests will appear here when someone messages you.,"Nye chat-anmodninger vil vises her, når nogen sender dig en besked."
Your request to join the live stream is pending approval.,Din anmodning om at deltage i livestreamen afventer godkendelse.
Joined the stream,Deltog i streamen
Join,Deltag
wants you to be in this live video,ønsker dig med i denne live-video
requesting to join the stream.,anmoder om at deltage i streamen.
The host has declined your request to join the live stream.,Værten har afvist din anmodning om at deltage i livestreamen.
Your request to join the live stream has been sent to the host.,Din anmodning om at deltage i livestreamen er sendt til værten.
Exit live stream?,Forlad livestream?
"If you check this profile, you will exit the live stream.","Hvis du tjekker denne profil, vil du forlade livestreamen."
You can’t leave the live stream while a battle is in progress.,"Du kan ikke forlade livestreamen, mens en kamp er i gang."
Get Back,Gå tilbage
Exit Live Stream?,Forlad livestream?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ","Er du sikker på, at du vil forlade livestreamen?\nHvis streamen er afsluttet, kan du ikke deltage igen."
Scan QR Code,Scan QR-kode
Scan the QR of the profile you want to search.,"Scan QR-koden for den profil, du vil søge efter."
Upload From Gallery,Upload fra galleri
Nothing to Watch Yet,Intet at se endnu
Reels will appear here once new content is shared.,"Reels vil vises her, når nyt indhold deles."
Nothing to Show Yet,Intet at vise endnu
Explore content by entering keywords in the search bar above.,Udforsk indhold ved at indtaste søgeord i søgefeltet ovenfor.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,en kunstner baseret i Portland. Jeg finder inspiration i naturen og bylivet. Lad os forbinde og skabe noget smukt! 🌿🖌️
Video path not found.,Videostien blev ikke fundet.
has liked your post,har liket dit opslag
liked your comment.,likede din kommentar.
has commented on your post : @comment_description,har kommenteret på dit opslag: @comment_description
has commented on your post with a GIF.,har kommenteret på dit opslag med en GIF.
@username replied to your comment : @comment_description,@username svarede på din kommentar: @comment_description
has mentioned you in post.,nævnte dig i et opslag.
Mentioned you in comment,Nævnte dig i en kommentar
has started following you,begyndte at følge dig
has reply mentioned you in comment : @comment_description,nævnte dig i en kommentar-svar: @comment_description
has sent you gift,sendte dig en gave.
No Comments Yet,Ingen kommentarer endnu
This post doesn’t have any comments. Join in and share your thoughts.,Dette opslag har ingen kommentarer. Vær den første til at dele dine tanker.
Post sent successfully,Opslag sendt succesfuldt
Search @brand_name,Søg @brand_name
Find Reels Around You,Find Reels i nærheden
Allow location access to explore reels shared by people near you.,Tillad adgang til placering for at udforske Reels delt af folk i nærheden.
Location Services Are Still Disabled,Placeringsservices er stadig deaktiveret
"To see nearby reels, please turn on location services in your device settings.",For at se Reels i nærheden skal du aktivere placeringsservices i dine enhedsindstillinger.
See places near you.,Se steder i nærheden.
"To include nearby places, turn on location services.",For at inkludere nærliggende steder skal du aktivere placeringsservices.
Turn on Location Services,Aktivér placeringsservices
Nothing To Show Here,Intet at vise her
This user has decided not to show their followings.,Denne bruger har valgt ikke at vise deres følgesider.
No Blocked Users,Ingen blokerede brugere
Users you block will appear here. You haven’t blocked anyone yet.,"Brugere, du blokerer, vil vises her. Du har ikke blokeret nogen endnu."
You need to reach the minimum coin amount before you can redeem.,"Du skal nå minimumsbeløbet for mønter, før du kan indløse."
No Users Found,Ingen brugere fundet
Users will appear here when available.,"Brugere vil vises her, når de er tilgængelige."
Freeze,Frys
UnFreeze,Optø
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,"Denne profil er midlertidigt frosset på grund af politik-overtrædelser eller mistænkelig aktivitet. Adgang er begrænset, indtil gennemgangen er afsluttet."
Profile Unavailable,Profil ikke tilgængelig
Admin,Admin
Days,Dage
Weeks,Uger
Months,Måneder
Years,År
Day,Dag
Week,Uge
Month,Måned
Year,År
Lifetime,Livstid
Annual,Årligt
6 Month,6 måneder
3 Month,3 måneder
2 Month,2 måneder
Monthly,Månedligt
Weekly,Ugentligt
@price / Month. Billed @unit_label,@price / Måned. Faktureret @unit_label
Give it a try,Prøv det
@count @get_period Free trial,@count @get_period gratis prøveperiode
Annually,Årligt
Semi Annually,Halvårligt
Three Months,Kvartalsvis
Two Months,To-måneders
The host has cancelled your invitation. You can no longer join the live stream.,Værten har annulleret din invitation. Du kan ikke længere deltage i livestreamen.
joined as a co-host,deltog som medvært
Min. @count Followers needed to go Live,Minimum @count følgere nødvendigt for at gå live
You can add only @limit links in the profile.,Du kan kun tilføje @limit links i profilen.
Refresh,Opdater
Lost,Mistet
Connection,Forbindelse
It looks like you are not\nconnected to the internet,"Det ser ud til, at du ikke er forbundet til internettet"
Download failed.,Download mislykkedes.
From,Fra
Something went wrong.,Noget gik galt.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 Velkomstbonus indsat på din tegnebog!
You've earned your registration bonus! Enjoy your coins and start exploring now!,Du har tjent din registreringsbonus! Nyd dine mønter og begynd at udforske nu!
You are,Du er
member,medlem
Oops!! Battle Ended Please wait for a while..,Ups!! Kampen sluttede Vent venligst et øjeblik..
"Hey, @name is now live","Hej, @name er nu live"
Hurry up and join before it ends.,"Skynd dig at deltage, før det slutter."
Professional Dashboard,Professionelt dashboard
Track Your Performance,Følg din præstation
Creator Dashboard,Skaber-dashboard
AI Insights,AI-indsigter
Content Calendar,Indholdskalender
Grow Your Business,Udvid din forretning
Subscription Tiers,Abonnementsniveauer
My Subscribers,Mine abonnenter
My Portfolio,Min portefølje
Manage Your Account,Administrer din konto
Creator Tier,Skaber-niveau
Account Type Settings,Kontotype-indstillinger
My Subscriptions,Mine abonnementer
People,Personer
Content & Feed,Indhold og feed
Digital Wellbeing,Digitalt velvære
AI & Discovery,AI og opdagelse
AI Video Generator,AI-videogenerator
Moderator Panel,Moderatorpanel
Two-Factor Authentication,Tofaktorgodkendelse
Switch Account,Skift konto
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","Skift til en personlig konto vil fjerne adgang til alle professionelle værktøjer, herunder analyse, indtjening, indtjeningsdashboard, og teamstyring."
Switch to Personal,Skift til personlig
Creator,Skaber
Account,Konto
Part of a Series,Del af en serie
Select Previous Part,Vælg forrige del
Previous Part,Forrige del
Next Part,Næste del
