key,value
An error occurred while applying the video filter.,동영상 필터를 적용하는 중 오류가 발생했습니다.
An error occurred while compress the video.,동영상을 압축하는 중 오류가 발생했습니다.
Delete Post?,게시물을 삭제하시겠습니까?
"Are you sure you want to delete this post? Once deleted, it cannot be restored.",이 게시물을 삭제하시겠습니까? 삭제 후에는 복원할 수 없습니다.
Your post has been pinned.,게시물이 고정되었습니다.
Your post has been unpinned.,게시물 고정이 해제되었습니다.
You can pin maximum @pin_count post.,최대 @pin_count개의 게시물을 고정할 수 있습니다.
You can pin maximum @pin_comment_count comment.,최대 @pin_comment_count개의 댓글을 고정할 수 있습니다.
A reset password link has been sent to your email. Please use it to reset your password.,비밀번호 재설정 링크가 이메일로 전송되었습니다. 이 링크를 사용하여 비밀번호를 재설정하세요.
Copyright Infringement,저작권 침해
Hate Speech,혐오 표현
Harassment or Bullying,괴롭힘 또는 괴롭힘
Violence or Threats,폭력 또는 위협
Nudity or Sexual Content,나체 또는 성적인 콘텐츠
Terrorism or Extremist Content,테러 또는 극단주의 콘텐츠
Scams or Fraud,사기 또는 사기
Spam,스팸
Impersonation,사칭
Misinformation,허위 정보
Reason,신고 사유
Please provide a detailed reason for the report.,신고 사유를 자세히 입력해 주세요.
Report submitted successfully.,신고가 성공적으로 제출되었습니다.
Block @username!,@username님을 차단하세요!
UnBlock @username!,@username님을 차단 해제하세요!
"Are you sure you want to block this user? You will no longer see their followers or following, and they won't be able to view your profile, photos, or posts. Once blocked, this user will no longer be able to chat with you, and you won’t be able to chat with them either.","이 사용자를 차단하시겠습니까? 차단된 사용자의 팔로워나 팔로잉이 더 이상 표시되지 않으며, 차단된 사용자는 내 프로필, 사진 또는 게시물을 볼 수 없습니다. 차단된 사용자는 더 이상 나와 채팅할 수 없으며, 나 역시 차단된 사용자와 채팅할 수 없습니다."
"Once unblocked, this user will be able to chat with you again, and you can chat with them as well. They will also be able to see your profile, photos, and posts, and you will be able to view their followers and following.","차단 해제된 사용자는 다시 나와 채팅할 수 있으며, 나 역시 차단된 사용자와 채팅할 수 있습니다. 차단된 사용자는 내 프로필, 사진 및 게시물을 볼 수 있으며, 나 역시 차단된 사용자의 팔로워와 팔로잉을 볼 수 있습니다."
You are bock this user,이 사용자를 차단했습니다.
This user is freeze,이 사용자는 정지되었습니다.
Delete Comment!,댓글 삭제!
Delete Reply Comment!,답글 댓글 삭제!
Are you sure you want to delete this comment? This action cannot be undone.,이 댓글을 삭제하시겠습니까? 이 작업은 취소할 수 없습니다.
"Do you really want to delete your account? All of your data will be deleted, and you won’t be able to recover it again!",계정을 삭제하시겠습니까? 모든 데이터가 삭제되며 다시 복구할 수 없습니다!
Do you really want to proceed?,계속하시겠습니까?
Are you sure you want to log out? You will need to log in again to access your account.,로그아웃하시겠습니까? 계정에 다시 로그인해야 합니다.
Logout!,로그아웃!
Delete Your Account!,계정 삭제!
There is nothing we can show you for now.,지금은 보여드릴 수 있는 정보가 없습니다.
music,음악
Discard edits?,편집 내용을 취소하시겠습니까?
Start Again?,다시 시작하시겠습니까?
Start Again,다시 시작
"If you go back now, you'll lose all the edits you've made.",지금 돌아가면 수정한 내용이 모두 사라집니다.
"If you go back now, you'll lose this draft",지금 돌아가면 이 초안이 사라집니다.
Discover,찾기
No location found.,위치를 찾을 수 없습니다.
Start searching for a location.,위치 검색을 시작하세요.
Only,만
Current Value,현재 값
Account Details,계정 정보
Select Gateway,게이트웨이 선택
You cannot enter more than @coin coins!,@coin 코인을 초과하여 입력할 수 없습니다!
Redeem gateway not found.,게이트웨이를 사용할 수 없습니다.
Record up to @second seconds.,최대 @second 초까지 기록합니다.
Allow Camera & Microphone Access,카메라 및 마이크 접근 허용
"To capture photos, record videos, and use voice features, @app_name needs access to your camera and microphone. Please grant permission in your device settings.","사진 촬영, 동영상 녹화, 음성 기능 사용을 위해 @app_name 앱이 카메라 및 마이크에 접근해야 합니다. 기기 설정에서 권한을 부여해 주세요."
Open setting,설정 열기
Delete Story?,스토리 삭제?
Are you sure you want to delete this story?,이 스토리를 삭제하시겠습니까?
Are you sure you want to delete this text?,이 텍스트를 삭제하시겠습니까?
Music download failed.,음악 다운로드에 실패했습니다.
View More,더 보기
Download completed successfully!,다운로드가 성공적으로 완료되었습니다!
Download has started...,다운로드가 시작되었습니다...
User not found.,사용자를 찾을 수 없습니다.
Delete Message?,메시지를 삭제하시겠습니까?
Delete @user_name?,@user_name님을 삭제하시겠습니까?
"After deleting this user, you will not be able to restore the chat.",이 사용자를 삭제하면 채팅을 복원할 수 없습니다.
This message will be deleted only for you. The other person will still be able to see it. Do you want to continue?,이 메시지는 본인에게만 삭제됩니다. 상대방은 계속 볼 수 있습니다. 계속하시겠습니까?
Send Media,미디어 보내기
Select Media,미디어 선택
Video,동영상
Image,이미지
You received a gift!,선물을 받으셨습니다!
You have sent a gift!,선물을 보냈습니다!
Enable Microphone Access,마이크 액세스 활성화
Enable Camera and Microphone Access,카메라 및 마이크 액세스 활성화
Enable photos and videos access,사진 및 동영상 액세스 활성화
"To Share photos and videos, @app_name needs access to Storage on your device.",사진과 동영상을 공유하려면 @app_name님이 기기의 저장공간에 액세스해야 합니다.
You'll need to enable camera and microphone access in your settings to send a photo or video message.,사진 또는 동영상 메시지를 보내려면 설정에서 카메라 및 마이크 액세스를 활성화해야 합니다.
You'll need to enable microphone access in your settings to send a voice message.,음성 메시지를 보내려면 설정에서 마이크 액세스를 활성화해야 합니다.
Settings,설정
Delete for you,내 메시지 삭제
Unsend,보내기 취소
You can share with up to @share_chat_limit chats.,최대 @share_chat_limit개의 채팅과 공유할 수 있습니다.
@chat_user_name wants to chat with you. Approve it if you want to chat.,@chat_user_name님이 채팅을 원합니다. 채팅을 원하시면 승인하세요.
You cannot send messages to this account unless you unblock them.,차단을 해제하지 않으면 이 계정으로 메시지를 보낼 수 없습니다.
You Blocked @block_user_name \nYou cannot send messages to this account unless you unblock them.,@block_user_name님을 차단하셨습니다. \n차단을 해제하지 않으면 이 계정으로 메시지를 보낼 수 없습니다.
You are blocked by this user.,이 사용자에 의해 차단되었습니다.
Copied to clipboard.,클립보드에 복사되었습니다.
Message sent,메시지가 전송되었습니다.
Story unavailable,스토리를 사용할 수 없습니다.
Delete Music?,음악을 삭제하시겠습니까?
Are you sure you want to delete this music? This action cannot be undone.,정말 이 음악을 삭제하시겠습니까? 이 작업은 실행 취소할 수 없습니다.
Session Expired – Logged in on Another Device,세션 만료 - 다른 기기에 로그인됨
"For security reasons, @app_name allows only one active session per account. It looks like you logged in on another device using the same email. To protect your account, we have automatically logged you out from this device.\n\nIf this wasn’t you, please log in again. You can change your password from the login screen if needed.",보안상의 이유로 @app_name은 계정당 하나의 활성 세션만 허용합니다. 동일한 이메일 주소를 사용하여 다른 기기에 로그인한 것 같습니다. 계정 보호를 위해 이 기기에서 자동으로 로그아웃되었습니다.\n\n본인이 아닌 경우 다시 로그인하세요. 필요한 경우 로그인 화면에서 비밀번호를 변경할 수 있습니다.
Your Account Has Been Frozen,계정이 동결되었습니다.
Request to Unfreeze My Account,계정 동결 해제 요청
"We're sorry, but it looks like your account has been temporarily frozen. This might be due to unusual activity or a policy-related concern.\n\nFor your security and to ensure proper access, your account has been placed on hold. You won’t be able to use the app until the issue is resolved.\n\nTo unfreeze your account or to get more information, please reach out to our support team at @support_mail. We’re here to assist you and will do our best to help you get back up and running as quickly as possible.\n\nThank you for your patience and understanding.",죄송하지만 계정이 일시적으로 동결된 것 같습니다. 비정상적인 활동 또는 정책 관련 문제 때문일 수 있습니다.\n\n보안 및 원활한 액세스를 위해 계정이 보류되었습니다. 문제가 해결될 때까지 앱을 사용할 수 없습니다.\n\n계정 동결을 해제하거나 자세한 정보를 얻으려면 @support_mail로 지원팀에 문의하세요. 최대한 빨리 다시 이용하실 수 있도록 최선을 다하겠습니다.\n\n인내심과 이해에 감사드립니다.
Text is rejected because it includes such things: ,텍스트에 다음 내용이 포함되어 있어 거부되었습니다.
Media is rejected because it contains such things: ,미디어에 다음 내용이 포함되어 있어 거부되었습니다.
Restrict users requests to join.,사용자의 참여 요청을 제한합니다.
End This Stream!,이 스트림을 종료하세요!
Do you really want to end this streaming?,이 스트리밍을 정말로 종료하시겠습니까?
End Battle?,전투를 종료하시겠습니까?
Are you sure you want to stop the battle? This action can’t be undone.,전투를 중단하시겠습니까? 이 작업은 취소할 수 없습니다.
No Join Requests Yet,아직 참여 요청이 없습니다.
View and manage audience requests to join the live stream.,시청자의 실시간 스트림 참여 요청을 보고 관리합니다.
No Viewers Yet,아직 시청자가 없습니다.
Audience members will appear here when they join your live stream.,시청자가 실시간 스트림에 참여하면 여기에 표시됩니다.
No One Invited,초대된 사람 없음
You haven’t invited anyone yet. Invited users will be listed here.,아직 초대한 사람이 없습니다. 초대된 사용자는 여기에 나열됩니다.
No Co-hosts Yet,아직 공동 호스트 없음
Co-hosts will appear here once they accept your invitation.,초대를 수락하면 공동 호스트가 여기에 표시됩니다.
You are sending coins to the above user.,위의 사용자에게 코인을 보내고 있습니다.
No Live Streams Yet,아직 라이브 스트림 없음
Live streams will appear here when someone goes live.,누군가 라이브 방송을 시작하면 라이브 스트림이 여기에 표시됩니다.
No Reels Yet,아직 릴 없음
This user hasn’t posted any reels so far.,이 사용자는 아직 릴을 게시하지 않았습니다.
You Haven’t Shared Any Posts,공유한 게시물이 없습니다.
Start posting to share your moments with the community.,게시물을 게시하여 커뮤니티와 순간을 공유하세요.
No Posts Yet,아직 게시물 없음
This user hasn’t shared any posts so far.,이 사용자는 아직 게시물을 공유하지 않았습니다.
Start a Conversation,대화 시작
Your chats will show up here once you start messaging someone.,메시지를 보내면 채팅이 여기에 표시됩니다.
No Requests Right Now,현재 요청 없음
New chat requests will appear here when someone messages you.,누군가 메시지를 보내면 새로운 채팅 요청이 여기에 표시됩니다.
Your request to join the live stream is pending approval.,라이브 스트림 참여 요청이 승인 대기 중입니다.
Joined the stream,스트림 참여
Join,참여
wants you to be in this live video,이 라이브 영상에 참여하기를 원함
requesting to join the stream.,스트림 참여를 요청함
The host has declined your request to join the live stream.,호스트가 라이브 스트림 참여 요청을 거부했습니다.
Your request to join the live stream has been sent to the host.,라이브 스트림 참여 요청이 호스트에게 전송되었습니다.
Exit live stream?,라이브 스트림을 종료하시겠습니까?
"If you check this profile, you will exit the live stream.",이 프로필을 체크하면 라이브 스트림이 종료됩니다.
You can’t leave the live stream while a battle is in progress.,전투 진행 중에는 라이브 스트림을 종료할 수 없습니다.
Get Back,돌아가기
Exit Live Stream?,라이브 스트림을 종료하시겠습니까?
"Are you sure you want to leave the live stream?\nIf the stream has ended, you won't be able to join again. ",라이브 스트림을 종료하시겠습니까?\n스트림이 종료되면 다시 참여할 수 없습니다.
Scan QR Code,QR 코드 스캔
Scan the QR of the profile you want to search.,검색하려는 프로필의 QR 코드를 스캔하세요.
Upload From Gallery,갤러리에서 업로드
Nothing to Watch Yet,아직 볼 영상이 없습니다.
Reels will appear here once new content is shared.,새로운 콘텐츠가 공유되면 여기에 릴이 표시됩니다.
Nothing to Show Yet,아직 표시할 영상이 없습니다.
Explore content by entering keywords in the search bar above.,위의 검색창에 키워드를 입력하여 콘텐츠를 탐색하세요.
km,km
an artist based in Portland. I find inspiration in nature and urban life. Let’s connect and create something beautiful! 🌿🖌️,포틀랜드를 기반으로 활동하는 아티스트입니다. 자연과 도시 생활에서 영감을 얻습니다. 함께 아름다운 것을 만들어 봅시다! 🌿🖌️
Video path not found.,동영상 경로를 찾을 수 없습니다.
has liked your post,님이 게시물에 좋아요를 표시했습니다.
liked your comment.,님이 댓글에 좋아요를 표시했습니다.
has commented on your post : @comment_description,님이 게시물에 댓글을 남겼습니다: @comment_description
has commented on your post with a GIF.,님이 GIF로 게시물에 댓글을 남겼습니다.
@username replied to your comment : @comment_description,@username님이 @comment_description님의 댓글에 답글을 남겼습니다.
has mentioned you in post.,님이 게시물에서 나를 멘션했습니다.
Mentioned you in comment,님이 댓글에서 나를 멘션했습니다.
has started following you,님이 나를 팔로우하기 시작했습니다.
has reply mentioned you in comment : @comment_description,님이 댓글에서 나를 멘션했습니다.
has sent you gift,님이 선물을 보냈습니다.
No Comments Yet,아직 댓글이 없습니다.
This post doesn’t have any comments. Join in and share your thoughts.,이 게시물에는 댓글이 없습니다. 참여하여 생각을 공유해 주세요.
Post sent successfully,게시물이 전송되었습니다.
Search @brand_name,@brand_name 검색
Find Reels Around You,주변 릴 찾기
Allow location access to explore reels shared by people near you.,주변 사람들이 공유한 릴을 탐색하려면 위치 정보 접근을 허용하세요.
Location Services Are Still Disabled,위치 서비스가 아직 비활성화되어 있습니다.
"To see nearby reels, please turn on location services in your device settings.",주변 릴을 보려면 기기 설정에서 위치 서비스를 켜세요.
See places near you.,주변 장소를 확인하세요.
"To include nearby places, turn on location services.",주변 장소를 포함하려면 위치 서비스를 켜세요.
Turn on Location Services,위치 서비스 켜기
Nothing To Show Here,여기에 표시할 내용 없음
This user has decided not to show their followings.,이 사용자는 팔로잉을 표시하지 않도록 설정했습니다.
No Blocked Users,차단된 사용자 없음
Users you block will appear here. You haven’t blocked anyone yet.,차단한 사용자는 여기에 표시됩니다. 아직 차단한 사용자가 없습니다.
You need to reach the minimum coin amount before you can redeem.,사용하려면 최소 코인 금액에 도달해야 합니다.
No Users Found,사용자 없음
Users will appear here when available.,사용자가 사용 가능해지면 여기에 표시됩니다.
Freeze,동결
UnFreeze,동결 해제
This profile has been temporarily frozen due to policy violations or suspicious activity. Access is restricted until review is complete.,정책 위반 또는 의심스러운 활동으로 인해 이 프로필이 일시적으로 동결되었습니다. 검토가 완료될 때까지 액세스가 제한됩니다.
Profile Unavailable,프로필을 사용할 수 없습니다.
Admin,관리자
Days,일
Weeks,주
Months,월
Years,년
Day,일
Week,주
Month,월
Year,년
Lifetime,평생
Annual,연간
6 Month,6개월
3 Month,3개월
2 Month,2개월
Monthly,월간
Weekly,주간
@price / Month. Billed @unit_label,@price / 월. @unit_label 청구
Give it a try,한번 사용해 보세요.
@count @get_period Free trial,@count @get_period 무료 체험
Annually,연간
Semi Annually,반기별
Three Months,3개월
Two Months,2개월
The host has cancelled your invitation. You can no longer join the live stream.,호스트가 초대를 취소했습니다. 더 이상 라이브 스트림에 참여할 수 없습니다.
joined as a co-host,공동 호스트로 참여했습니다.
Min. @count Followers needed to go Live,라이브 스트림 시작에 필요한 최소 @count 팔로워
You can add only @limit links in the profile.,프로필에는 @limit 링크만 추가할 수 있습니다.
Refresh,새로 고침
Lost,끊김
Connection,연결
It looks like you are not\nconnected to the internet,인터넷에 연결되어 있지 않은 것 같습니다.
Download failed.,다운로드에 실패했습니다.
From,출처
Something went wrong.,문제가 발생했습니다.
🎉 Welcome Bonus Credited to Your Wallet!,🎉 환영 보너스가 지갑에 적립되었습니다!
You've earned your registration bonus! Enjoy your coins and start exploring now!,등록 보너스를 받으셨습니다! 코인을 받고 지금 바로 탐험을 시작하세요!
You are,당신은
member,회원
Oops!! Battle Ended Please wait for a while..,앗! 전투가 종료되었습니다. 잠시만 기다려 주세요.
"Hey, @name is now live",@name님이 현재 접속 중입니다.
Hurry up and join before it ends.,종료되기 전에 서둘러 참여하세요.
Professional Dashboard,프로페셔널 대시보드
Track Your Performance,성과 추적하기
Creator Dashboard,크리에이터 대시보드
AI Insights,AI 인사이트
Content Calendar,콘텐츠 캘린더
Grow Your Business,비즈니스 성장시키기
Subscription Tiers,구독 등급
My Subscribers,내 구독자
My Portfolio,내 포트폴리오
Manage Your Account,계정 관리
Creator Tier,크리에이터 등급
Account Type Settings,계정 유형 설정
My Subscriptions,내 구독
People,사람들
Content & Feed,콘텐츠 및 피드
Digital Wellbeing,디지털 웰빙
AI & Discovery,AI 및 디스커버리
AI Video Generator,AI 비디오 생성기
Moderator Panel,관리자 패널
Two-Factor Authentication,2단계 인증
Switch Account,계정 전환
"Switching to a personal account will remove access to all professional tools including analytics, monetization, earnings dashboard, and team management.","개인 계정으로 전환하면 분석, 수익화, 수익 대시보드, 팀 관리를 포함한 모든 전문 도구에 대한 액세스가 제거됩니다."
Switch to Personal,개인으로 전환
Creator,크리에이터
Account,계정
Part of a Series,시리즈의 일부
Select Previous Part,이전 파트 선택
Previous Part,이전 파트
Next Part,다음 파트
